"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Hecarim",0.5015,97135,48713,0.4987,95236,47494,0.2299,-0.0017,0.0072,0.2194
"Aatrox",0.4837,828184,400593,0.4803,852118,409272,0,0.0133,0.0223,0
"Camille",0.4966,399084,198185,0.4928,458045,225725,0.0032,0.0023,0.0113,9e-04
"Cho'Gath",0.4876,309640,150980,0.486,297862,144761,0,0.0061,0.0151,0
"Darius",0.5027,1556454,782429,0.5017,1714049,859938,0.0257,-0.0096,-6e-04,0.0713
"Dr. Mundo",0.5144,374516,192651,0.509,386796,196879,0,-0.0165,-0.0074,0
"Fiora",0.5064,1007403,510149,0.5051,976425,493192,0.0022,-0.0115,-0.0025,2e-04
"Garen",0.5186,1888084,979160,0.5202,2069711,1076664,0,-0.0257,-0.0167,0
"Gnar",0.4915,428331,210525,0.4883,434662,212245,0,0.0055,0.0145,0
"Gragas",0.4742,29795,14129,0.4695,42999,20188,0,0.0246,0.0379,0
"Heimerdinger",0.5015,114320,57331,0.5033,123490,62153,0.0984,-0.0083,7e-04,0.0327
"Illaoi",0.5111,590020,301559,0.5074,602429,305672,1e-04,-0.0134,-0.0045,0
"Irelia",0.4659,790673,368375,0.4626,836979,387186,0,0.0315,0.0405,0
"Jax",0.5016,1011626,507432,0.5004,1060442,530645,0.5,-0.006,0.0029,0.3143
"Jayce",0.4784,277056,132544,0.4764,278889,132863,0,0.017,0.026,0
"Kayle",0.5034,393571,198124,0.5034,410816,206805,0.0174,-0.01,-0.001,0.0089
"Kennen",0.4841,172506,83510,0.4819,182863,88122,0,0.0113,0.0203,0
"Kled",0.5179,309696,160392,0.5118,304223,155701,0,-0.0159,-0.007,0
"Malphite",0.5165,808020,417342,0.5144,815708,419600,0,-0.0218,-0.0128,0
"Maokai",0.5194,547190,284210,0.5164,489012,252526,0,-0.0218,-0.0128,0
"Mordekaiser",0.5019,1402746,704038,0.4996,1466441,732634,0.5638,-0.0058,0.0032,0.5895
"Nasus",0.5223,1107152,578265,0.5183,1072852,556059,0,-0.0241,-0.0151,0
"Neeko",0.5032,41386,20825,0.5083,41972,21334,0.127,-0.012,0.0015,0.0011
"Nocturne",0.5314,55420,29450,0.5322,61189,32565,0,-0.0393,-0.028,0
"Olaf",0.4985,166228,82865,0.4886,169313,82726,4e-04,0.0036,0.0126,0
"Ornn",0.5044,758634,382655,0.5007,757160,379110,0.4112,-0.0064,0.0026,0.2442
"Pantheon",0.4654,132347,61594,0.4627,130687,60469,0,0.0325,0.0414,0
"Poppy",0.4938,362689,179096,0.4918,375844,184840,8e-04,0.0032,0.0121,1e-04
"Quinn",0.5175,340119,176012,0.5163,337725,174367,0,-0.0222,-0.0132,0
"Renekton",0.4867,1227114,597236,0.484,1225031,592915,0,0.0092,0.0182,0
"Rengar",0.5172,150998,78096,0.5115,153830,78684,0,-0.0157,-0.0067,0
"Riven",0.4883,481934,235328,0.4803,500899,240582,0,0.0134,0.0224,0
"Rumble",0.4888,111109,54310,0.4856,117177,56901,0,0.0087,0.0177,0
"Ryze",0.4691,126200,59200,0.4649,125087,58153,0,0.0287,0.0377,0
"Sett",0.5021,1140242,572516,0.4988,1209133,603116,0.7515,-0.0038,0.0052,0.9515
"Shen",0.5141,767007,394318,0.5101,768790,392160,0,-0.0142,-0.0053,0
"Shyvana",0.5205,64234,33434,0.5147,67178,34577,0,-0.0206,-0.0099,0
"Singed",0.5341,293903,156974,0.5294,338966,179449,0,-0.0342,-0.0252,0
"Sion",0.5172,280888,145275,0.5111,268974,137473,0,-0.0182,-0.0092,0
"Skarner",0.5121,14392,7370,0.505,15081,7616,0.104,-0.0206,0.0019,0.15
"Sylas",0.4738,274479,130048,0.4723,269940,127493,0,0.0211,0.03,0
"Tahm Kench",0.4971,92388,45926,0.4916,99932,49127,0.0022,0.0025,0.0115,0.0017
"Teemo",0.5154,967580,498691,0.5145,986970,507796,0,-0.0196,-0.0106,0
"Tryndamere",0.4999,788257,394050,0.4984,776178,386847,0.5696,-0.0058,0.0032,0.8621
"Udyr",0.4526,27558,12473,0.4539,27916,12671,0,0.0367,0.0532,0
"Urgot",0.5333,873817,466007,0.5307,887370,470927,0,-0.0373,-0.0283,0
"Vladimir",0.4758,391742,186391,0.4783,407313,194818,0,0.0152,0.0242,0
"Wukong",0.5203,527846,274638,0.518,664588,344257,0,-0.0239,-0.0149,0
"Yorick",0.5254,419530,220421,0.5215,403474,210412,0,-0.0248,-0.0158,0
