"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Urgot",0.5101,501172,255648,0.5117,703910,360191,0.0891,-0.0037,3e-04,0.0833
"Aatrox",0.4642,1084698,503517,0.4766,1043733,497443,0,0.0333,0.0366,0
"Akali",0.4432,284485,126084,0.4462,295480,131843,0,0.0634,0.0685,0
"Camille",0.4886,371776,181650,0.4825,422810,204006,0,0.0273,0.0316,0
"Cassiopeia",0.5073,72704,36883,0.5122,69552,35625,0.1045,-0.0096,9e-04,0.7988
"Cho'Gath",0.4843,377950,183041,0.4821,404177,194854,0,0.027,0.0314,0
"Dr. Mundo",0.5112,477018,243852,0.5159,520793,268677,0,-0.006,-0.0022,0
"Fiora",0.5072,1201216,609257,0.5062,1332671,674598,0,0.004,0.0073,0
"Gangplank",0.4702,409358,192480,0.47,401072,188504,0,0.0386,0.043,0
"Gnar",0.4896,449246,219951,0.4882,467121,228048,0,0.0214,0.0255,0
"Heimerdinger",0.4933,154232,76083,0.5005,146383,73265,0,0.0064,0.0136,0
"Illaoi",0.5072,747269,379015,0.5129,793455,406963,0.0528,-0.0033,0,0.1427
"Irelia",0.4591,813000,373248,0.4559,991031,451811,0,0.0538,0.0571,0
"Jax",0.4919,1184177,582497,0.4938,1208583,596798,0,0.0161,0.0194,0
"Jayce",0.4737,186907,88538,0.465,212361,98748,0,0.0467,0.0527,0
"Kalista",0.4418,180993,79963,0.4489,142728,64071,0,0.0596,0.067,0
"Kayle",0.5094,529124,269536,0.5085,551697,280538,1e-04,0.0019,0.0056,4e-04
"Kennen",0.4796,254771,122188,0.482,255933,123360,0,0.0284,0.0339,0
"Kled",0.5266,470438,247733,0.5206,499856,260225,0,-0.0111,-0.0072,0
"Malphite",0.5093,1007627,513184,0.5113,1066023,545058,0.8794,-0.0015,0.0018,0.6024
"Maokai",0.5267,564364,297251,0.5304,716330,379941,0,-0.0203,-0.017,0
"Mordekaiser",0.4999,1983632,991618,0.5022,2142364,1075895,0,0.0082,0.0115,0
"Nasus",0.5034,1201570,604870,0.5077,1422818,722365,0,0.0026,0.0059,0
"Olaf",0.4869,192951,93948,0.485,197731,95900,0,0.0251,0.0313,0
"Pantheon",0.4618,331186,152942,0.4579,237198,108613,0,0.0507,0.0564,0
"Poppy",0.4956,366431,181603,0.4924,392110,193075,0,0.0177,0.0221,0
"Quinn",0.5026,332215,166971,0.4975,331614,164978,0,0.0115,0.0164,0
"Renekton",0.4872,1396627,680437,0.4869,1617080,787356,0,0.0231,0.0264,0
"Rengar",0.5088,242600,123435,0.5086,214543,109117,0.1071,-5e-04,0.0055,0.012
"Riven",0.4737,598330,283429,0.4769,625266,298189,0,0.0329,0.0364,0
"Rumble",0.4851,191087,92696,0.4906,201586,98898,0,0.0184,0.0245,0
"Shen",0.5147,924288,475731,0.5157,993232,512210,0,-0.0055,-0.0022,0
"Singed",0.5169,377490,195125,0.5227,392802,205318,0,-0.0126,-0.0082,0
"Sion",0.5181,287409,148907,0.518,318992,165238,0,-0.0093,-0.0044,0
"Skarner",0.5045,19034,9603,0.5105,17065,8712,0.8799,-0.0115,0.0098,0.7602
"Swain",0.4985,71436,35611,0.5017,71599,35921,0,0.006,0.0163,0
"Sylas",0.474,433298,205383,0.4703,411954,193742,0,0.039,0.0433,0
"Tahm Kench",0.4879,97823,47728,0.4827,108684,52462,0,0.0233,0.0317,0
"Teemo",0.5134,1180604,606122,0.5174,1255938,649822,0,-0.0071,-0.0038,0
"Trundle",0.5034,195458,98394,0.5053,209898,106061,0,0.0045,0.0106,0
"Tryndamere",0.4973,984316,489500,0.4966,1023241,508141,0,0.0135,0.0168,0
"Vayne",0.4859,495767,240893,0.4846,485261,235157,0,0.0249,0.0289,0
"Vladimir",0.474,627909,297629,0.4776,602941,287965,0,0.0321,0.0356,0
"Volibear",0.5266,344440,181382,0.5245,376624,197539,0,-0.0142,-0.0097,0
"Yasuo",0.4795,573311,274903,0.4824,592151,285654,0,0.0275,0.0311,0
"Yorick",0.5291,478509,253179,0.5284,499204,263779,0,-0.0193,-0.0154,0
"Zac",0.5097,195289,99539,0.5088,135643,69015,0.0774,-4e-04,0.0072,0.0503
