"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Quinn",0.4831,45606,22032,0.4939,52325,25843,6e-04,-0.0178,-0.0048,7e-04
"Caitlyn",0.5022,3934300,1975805,0.5003,3728121,1865179,1e-04,-0.0182,-0.006,0.0036
"Cassiopeia",0.5365,109729,58870,0.5319,133420,70966,0,-0.0433,-0.0312,0
"Corki",0.4833,37698,18219,0.4821,41537,20025,0.0014,0.0043,0.0179,3e-04
"Draven",0.497,963765,478991,0.5002,914204,457285,0.0428,-0.0123,-2e-04,0.005
"Ezreal",0.4869,4506839,2194380,0.4868,4646728,2262027,0.0053,0.0025,0.0147,0.0012
"Heimerdinger",0.5144,104721,53868,0.5174,76890,39783,0,-0.0288,-0.0167,0
"Jhin",0.516,3076039,1587236,0.5155,2874069,1481583,0,-0.0264,-0.0142,0
"Jinx",0.5129,2572146,1319254,0.5126,2436612,1249007,0,-0.0239,-0.0118,0
"Kai'Sa",0.4724,2632075,1243392,0.4733,2380280,1126587,0,0.0157,0.0278,0
"Kog'Maw",0.5157,294394,151819,0.5163,286668,148007,0,-0.029,-0.0168,0
"Lucian",0.4838,2466944,1193508,0.4836,2330548,1127053,0.0011,0.0041,0.0162,0
"Miss Fortune",0.5204,4431960,2306392,0.5197,4251910,2209718,0,-0.0331,-0.021,0
"Sivir",0.503,598143,300866,0.5011,618972,310167,0.0591,-0.0119,2e-04,0.0015
"Taliyah",0.5114,16638,8509,0.5134,16041,8235,1e-04,-0.0325,-0.0106,0
"Twitch",0.5097,624504,318310,0.5103,682642,348352,0,-0.0187,-0.0066,0
"Vayne",0.5098,2716910,1385081,0.5105,2798357,1428561,0,-0.0256,-0.0135,0
"Veigar",0.5278,128752,67955,0.5247,119001,62440,0,-0.0346,-0.0225,0
"Yasuo",0.5311,518722,275493,0.5322,531717,282980,0,-0.0455,-0.0334,0
"Ziggs",0.5253,93674,49207,0.5256,155347,81650,0,-0.0383,-0.0262,0
