"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Tristana",0.4924,1404372,691513,0.4901,1141696,559545,3e-04,0.0011,0.0037,3e-04
"Corki",0.4779,30181,14423,0.466,23754,11069,0,0.0125,0.0306,0
"Heimerdinger",0.5207,61799,32179,0.5161,49078,25329,0,-0.0288,-0.0163,0
"Quinn",0.5007,39640,19848,0.4848,29516,14309,0.6034,-0.0059,0.0102,0.0715
"Taliyah",0.5315,15499,8238,0.5193,11896,6178,0,-0.0415,-0.016,0
"Veigar",0.5264,100930,53130,0.52,77300,40196,0,-0.0344,-0.0245,0
"Yasuo",0.5346,454784,243128,0.529,395808,209382,0,-0.0412,-0.0368,0
"Ziggs",0.528,115637,61056,0.5153,70149,36148,0,-0.0297,-0.0192,0
