"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Aphelios",0.4843,1168533,565921,0.4918,1109657,545729,0,-0.0088,-0.0062,0
"Corki",0.4779,30181,14423,0.466,23754,11069,0,0.0103,0.0282,0
"Heimerdinger",0.5207,61799,32179,0.5161,49078,25329,0,-0.0326,-0.0201,0
"Quinn",0.5007,39640,19848,0.4848,29516,14309,0.0179,0.0017,0.0177,0.0174
"Taliyah",0.5315,15499,8238,0.5193,11896,6178,0,-0.0454,-0.0199,0
"Veigar",0.5264,100930,53130,0.52,77300,40196,0,-0.0322,-0.0223,0
"Yasuo",0.5346,454784,243128,0.529,395808,209382,0,-0.0392,-0.0348,0
"Ziggs",0.528,115637,61056,0.5153,70149,36148,0,-0.0276,-0.0171,0
