"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Ashe",0.513,3120031,1600576,0.5103,2864736,1461875,0,0.0018,0.0034,0
"Caitlyn",0.5022,3934300,1975805,0.5003,3728121,1865179,0,0.0089,0.0106,0
"Cassiopeia",0.5365,109729,58870,0.5319,133420,70966,0,-0.0271,-0.0195,0
"Corki",0.4833,37698,18219,0.4821,41537,20025,0,0.022,0.0356,0
"Draven",0.497,963765,478991,0.5002,914204,457285,0,0.0083,0.0112,0
"Ezreal",0.4869,4506839,2194380,0.4868,4646728,2262027,0,0.0228,0.0244,0
"Heimerdinger",0.5144,104721,53868,0.5174,76890,39783,0.0053,-0.0121,-0.0021,1e-04
"Jhin",0.516,3076039,1587236,0.5155,2874069,1481583,0,-0.006,-0.0044,0
"Jinx",0.5129,2572146,1319254,0.5126,2436612,1249007,0,-0.0033,-0.0015,0
"Kai'Sa",0.4724,2632075,1243392,0.4733,2380280,1126587,0,0.0363,0.0381,0
"Kog'Maw",0.5157,294394,151819,0.5163,286668,148007,0,-0.0089,-0.0038,0
"Lucian",0.4838,2466944,1193508,0.4836,2330548,1127053,0,0.0261,0.0279,0
"Miss Fortune",0.5204,4431960,2306392,0.5197,4251910,2209718,0,-0.0105,-0.0088,0
"Sivir",0.503,598143,300866,0.5011,618972,310167,0,0.0072,0.0107,0
"Taliyah",0.5114,16638,8509,0.5134,16041,8235,0.8583,-0.0119,0.0099,0.4377
"Twitch",0.5097,624504,318310,0.5103,682642,348352,0.9686,-0.0017,0.0016,0.9995
"Vayne",0.5098,2716910,1385081,0.5105,2798357,1428561,0.6173,-0.001,6e-04,0.6343
"Veigar",0.5278,128752,67955,0.5247,119001,62440,0,-0.0175,-0.0095,0
"Yasuo",0.5311,518722,275493,0.5322,531717,282980,0,-0.0235,-0.0197,0
"Ziggs",0.5253,93674,49207,0.5256,155347,81650,0,-0.0225,-0.0155,0
