"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Jinx",0.5139,2084085,1071011,0.5185,1780442,923159,0,-0.0058,-0.0037,0
"Corki",0.4779,30181,14423,0.466,23754,11069,0,0.0487,0.0667,0
"Heimerdinger",0.5207,61799,32179,0.5161,49078,25329,0.9693,-0.0064,0.0061,0.2932
"Quinn",0.5007,39640,19848,0.4848,29516,14309,0,0.0219,0.038,0
"Taliyah",0.5315,15499,8238,0.5193,11896,6178,0.6694,-0.0155,0.01,0.856
"Veigar",0.5264,100930,53130,0.52,77300,40196,0.259,-0.0079,0.0021,0.4138
"Yasuo",0.5346,454784,243128,0.529,395808,209382,0,-0.0134,-0.009,0
"Ziggs",0.528,115637,61056,0.5153,70149,36148,0.8063,-0.0046,0.0059,0.0965
