"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Jinx",0.5163,2341277,1208801,0.5152,2506533,1291366,0.0121,3e-04,0.0021,0.0155
"Ashe",0.513,1671027,857237,0.5158,2061208,1063171,0.2249,-0.0016,4e-04,0.2018
"Caitlyn",0.486,3295977,1601845,0.4868,3213722,1564440,0,0.0275,0.0292,0
"Cassiopeia",0.539,88945,47941,0.533,104619,55762,0,-0.0248,-0.0162,0
"Heimerdinger",0.5201,120126,62478,0.5203,124106,64572,0.0216,-0.0085,-7e-04,5e-04
"Jhin",0.5124,2291939,1174390,0.5141,2504390,1287507,0.0128,2e-04,0.002,0.0138
"Kai'Sa",0.4662,2213024,1031712,0.4671,2105861,983648,0,0.0472,0.0491,0
"Kalista",0.4896,211455,103528,0.4964,256069,127113,0,0.0155,0.021,0
"Kog'Maw",0.5166,166464,85995,0.5176,184569,95533,0.1575,-0.0056,9e-04,0.0464
"Lucian",0.4942,2504062,1237507,0.491,2704584,1327951,0,0.0233,0.0251,0
"Quinn",0.4942,31646,15639,0.4937,36186,17865,0,0.0118,0.0264,0
"Sivir",0.4954,450166,223012,0.4965,476386,236526,0,0.0151,0.0191,0
"Syndra",0.4892,53648,26245,0.4944,64487,31882,0,0.0161,0.027,0
"Taliyah",0.5087,74771,38036,0.51,59217,30201,0.0174,0.0012,0.0126,0.0124
"Tristana",0.4892,1098318,537297,0.4904,1192158,584634,0,0.023,0.0256,0
"Twitch",0.5119,342517,175334,0.5099,395795,201816,0,0.0038,0.0082,0
"Varus",0.4932,834366,411509,0.4929,885721,436572,0,0.0207,0.0237,0
"Vayne",0.5084,1932365,982414,0.5113,2246594,1148684,0,0.003,0.0049,0
"Xayah",0.4762,942139,448647,0.4756,1011920,481269,0,0.0384,0.0411,0
"Yasuo",0.521,335902,175005,0.5259,374590,196997,0,-0.0133,-0.0088,0
