"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Twitch",0.51,577528,294539,0.5138,472035,242532,1e-04,-0.006,-0.002,1e-04
"Corki",0.4779,30181,14423,0.466,23754,11069,0,0.0344,0.0524,0
"Heimerdinger",0.5207,61799,32179,0.5161,49078,25329,0.7206,-0.0074,0.0051,0.3328
"Quinn",0.5007,39640,19848,0.4848,29516,14309,0,0.0164,0.0325,0
"Taliyah",0.5315,15499,8238,0.5193,11896,6178,0.5004,-0.0083,0.0171,0.233
"Veigar",0.5264,100930,53130,0.52,77300,40196,0.0078,-0.0117,-0.0018,0.0014
"Yasuo",0.5346,454784,243128,0.529,395808,209382,0,-0.0177,-0.0133,0
"Ziggs",0.528,115637,61056,0.5153,70149,36148,0.083,-0.0099,6e-04,0.4576
