"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Miss Fortune",0.5095,3059513,1558822,0.5047,2197214,1108934,0,0.0039,0.0057,0
"Corki",0.4779,30181,14423,0.466,23754,11069,0,0.0279,0.0459,0
"Heimerdinger",0.5207,61799,32179,0.5161,49078,25329,0.0016,-0.0163,-0.0038,0
"Quinn",0.5007,39640,19848,0.4848,29516,14309,0,0.0099,0.026,0
"Taliyah",0.5315,15499,8238,0.5193,11896,6178,0.0011,-0.0337,-0.0084,0.0015
"Veigar",0.5264,100930,53130,0.52,77300,40196,0,-0.0249,-0.015,0
"Yasuo",0.5346,454784,243128,0.529,395808,209382,0,-0.0262,-0.0218,0
"Ziggs",0.528,115637,61056,0.5153,70149,36148,1e-04,-0.0156,-0.0052,0
