"BottomRisk9.champName","BottomRisk9.winRate.x","BottomRisk9.gamesPlayed.x","BottomRisk9.gamesWon.x","BottomRisk9.winRate.y","BottomRisk9.gamesPlayed.y","BottomRisk9.gamesWon.y","BottomRisk9.HOlessequal","BottomRisk9.HOgreaterequal","BottomRisk9.HOequal","BottomRisk9.riskDifference","BottomRisk9.riskLower","BottomRisk9.riskUpper"
"Aphelios",0.477,1191781,568480,0.4843,1168533,565921,0,1,0,-0.0073,-0.008,-0.0066
"Ashe",0.5103,2864736,1461875,0.5113,2461075,1258348,0.0107,0.9893,0.0213,-0.001,-0.0014,-6e-04
"Caitlyn",0.5003,3728121,1865179,0.502,3309749,1661494,0,1,0,-0.0017,-0.0021,-0.0013
"Draven",0.5002,914204,457285,0.5021,784012,393652,0.0068,0.9932,0.0136,-0.0019,-0.0027,-0.0011
"Ezreal",0.4868,4646728,2262027,0.4914,4530378,2226228,0,1,0,-0.0046,-0.0049,-0.0043
"Jinx",0.5126,2436612,1249007,0.5139,2084085,1071011,0.0029,0.9971,0.0058,-0.0013,-0.0018,-8e-04
"Kai'Sa",0.4733,2380280,1126587,0.4759,2205156,1049434,0,1,0,-0.0026,-0.0031,-0.0021
"Lucian",0.4836,2330548,1127053,0.4824,2425193,1169913,0.9956,0.0044,0.0088,0.0012,7e-04,0.0017
"Taliyah",0.5134,16041,8235,0.5315,15499,8238,6e-04,0.9994,0.0013,-0.0181,-0.0237,-0.0125
"Tristana",0.4909,1694893,832023,0.4924,1404372,691513,0.0043,0.9957,0.0085,-0.0015,-0.0021,-9e-04
"Varus",0.505,2204016,1113028,0.5066,1828670,926404,7e-04,0.9993,0.0014,-0.0016,-0.0021,-0.0011
"Xayah",0.4826,976498,471258,0.4847,803708,389557,0.0026,0.9974,0.0053,-0.0021,-0.0029,-0.0013
"Yasuo",0.5322,531717,282980,0.5346,454784,243128,0.0086,0.9914,0.0172,-0.0024,-0.0034,-0.0014
