"BottomRisk1.champName","BottomRisk1.winRate.x","BottomRisk1.gamesPlayed.x","BottomRisk1.gamesWon.x","BottomRisk1.winRate.y","BottomRisk1.gamesPlayed.y","BottomRisk1.gamesWon.y","BottomRisk1.HOlessequal","BottomRisk1.HOgreaterequal","BottomRisk1.HOequal","BottomRisk1.riskDifference","BottomRisk1.riskLower","BottomRisk1.riskUpper"
"Ashe",0.5068,2169141,1099321,0.513,1671027,857237,0,1,0,-0.0062,-0.0067,-0.0057
"Caitlyn",0.501,4902006,2455905,0.486,3295977,1601845,1,0,0,0.015,0.0146,0.0154
"Cassiopeia",0.5288,104686,55358,0.539,88945,47941,0,1,0,-0.0102,-0.0125,-0.0079
"Ezreal",0.4674,2168416,1013518,0.4743,1991035,944348,0,1,0,-0.0069,-0.0074,-0.0064
"Heimerdinger",0.5134,170090,87324,0.5201,120126,62478,2e-04,0.9998,4e-04,-0.0067,-0.0086,-0.0048
"Jhin",0.5178,2950030,1527526,0.5124,2291939,1174390,1,0,0,0.0054,0.005,0.0058
"Kai'Sa",0.476,3359368,1599059,0.4662,2213024,1031712,1,0,0,0.0098,0.0094,0.0102
"Lucian",0.493,2898031,1428729,0.4942,2504062,1237507,0.0027,0.9973,0.0054,-0.0012,-0.0016,-8e-04
"Miss Fortune",0.5265,3787254,1993989,0.529,3776223,1997622,0,1,0,-0.0025,-0.0029,-0.0021
"Senna",0.5265,692591,364649,0.5332,1512542,806487,0,1,0,-0.0067,-0.0074,-0.006
"Sivir",0.493,585887,288842,0.4954,450166,223012,0.0077,0.9923,0.0154,-0.0024,-0.0034,-0.0014
"Tristana",0.4927,1405680,692579,0.4892,1098318,537297,1,0,0,0.0035,0.0029,0.0041
"Twitch",0.5066,425927,215775,0.5119,342517,175334,0,1,0,-0.0053,-0.0064,-0.0042
"Vayne",0.5054,2216325,1120131,0.5084,1932365,982414,0,1,0,-0.003,-0.0035,-0.0025
"Xayah",0.4789,1220066,584290,0.4762,942139,448647,1,0,1e-04,0.0027,0.002,0.0034
"Yasuo",0.5187,442299,229420,0.521,335902,175005,0.0221,0.9779,0.0442,-0.0023,-0.0034,-0.0012
