"BottomRisk6.champName","BottomRisk6.winRate.x","BottomRisk6.gamesPlayed.x","BottomRisk6.gamesWon.x","BottomRisk6.winRate.y","BottomRisk6.gamesPlayed.y","BottomRisk6.gamesWon.y","BottomRisk6.HOlessequal","BottomRisk6.HOgreaterequal","BottomRisk6.HOequal","BottomRisk6.riskDifference","BottomRisk6.riskLower","BottomRisk6.riskUpper"
"Ashe",0.5095,2327400,1185810,0.5081,2410230,1224638,0.9988,0.0012,0.0023,0.0014,9e-04,0.0019
"Caitlyn",0.5037,4129390,2079974,0.5029,4048416,2035948,0.9889,0.0111,0.0221,8e-04,5e-04,0.0011
"Cassiopeia",0.5389,101369,54628,0.5348,109644,58638,0.9704,0.0296,0.0592,0.0041,0.0019,0.0063
"Ezreal",0.4842,4499405,2178612,0.4851,4487386,2176831,0.0035,0.9965,0.0069,-9e-04,-0.0012,-6e-04
"Heimerdinger",0.5213,113272,59049,0.5167,102995,53218,0.9837,0.0163,0.0326,0.0046,0.0024,0.0068
"Jhin",0.5192,2952313,1532841,0.5183,3156246,1635882,0.987,0.013,0.0261,9e-04,5e-04,0.0013
"Kai'Sa",0.4703,2777516,1306266,0.4723,2866493,1353845,0,1,0,-0.002,-0.0024,-0.0016
"Miss Fortune",0.5201,4233330,2201755,0.5218,4417391,2304995,0,1,0,-0.0017,-0.002,-0.0014
"Quinn",0.4942,44606,22044,0.4885,44206,21595,0.9549,0.0451,0.0902,0.0057,0.0023,0.0091
"Sivir",0.5062,639108,323516,0.5044,591712,298460,0.9769,0.0231,0.0462,0.0018,9e-04,0.0027
"Tahm Kench",0.5042,57947,29217,0.5108,54356,27765,0.0136,0.9864,0.0271,-0.0066,-0.0096,-0.0036
"Tristana",0.4886,1479471,722870,0.4852,1570698,762103,1,0,0,0.0034,0.0028,0.004
"Twitch",0.5064,536997,271935,0.5083,570495,289983,0.0227,0.9773,0.0455,-0.0019,-0.0029,-9e-04
"Varus",0.5037,1549382,780424,0.5054,1958261,989705,8e-04,0.9992,0.0016,-0.0017,-0.0022,-0.0012
"Xayah",0.4743,879834,417305,0.4705,871104,409854,1,0,0,0.0038,0.003,0.0046
"Ziggs",0.5324,75202,40038,0.5256,77040,40492,0.9961,0.0039,0.0078,0.0068,0.0042,0.0094
