"BottomRisk5.champName","BottomRisk5.winRate.x","BottomRisk5.gamesPlayed.x","BottomRisk5.gamesWon.x","BottomRisk5.winRate.y","BottomRisk5.gamesPlayed.y","BottomRisk5.gamesWon.y","BottomRisk5.HOlessequal","BottomRisk5.HOgreaterequal","BottomRisk5.HOequal","BottomRisk5.riskDifference","BottomRisk5.riskLower","BottomRisk5.riskUpper"
"Ashe",0.5127,2220015,1138202,0.5095,2327400,1185810,1,0,0,0.0032,0.0027,0.0037
"Caitlyn",0.502,3869411,1942444,0.5037,4129390,2079974,0,1,0,-0.0017,-0.0021,-0.0013
"Ezreal",0.4807,4432946,2130917,0.4842,4499405,2178612,0,1,0,-0.0035,-0.0038,-0.0032
"Jhin",0.5223,2547389,1330501,0.5192,2952313,1532841,1,0,0,0.0031,0.0027,0.0035
"Jinx",0.5128,2348990,1204562,0.514,2608334,1340684,0.0038,0.9962,0.0076,-0.0012,-0.0016,-8e-04
"Kog'Maw",0.5209,199844,104099,0.5178,227362,117728,0.9785,0.0215,0.0429,0.0031,0.0016,0.0046
"Lucian",0.4899,2370076,1161100,0.4883,2551813,1246050,0.9998,2e-04,4e-04,0.0016,0.0011,0.0021
"Tahm Kench",0.5559,112833,62724,0.5042,57947,29217,1,0,0,0.0517,0.0492,0.0542
"Tristana",0.4908,1260339,618574,0.4886,1479471,722870,0.9999,1e-04,3e-04,0.0022,0.0016,0.0028
"Varus",0.5002,1069402,534915,0.5037,1549382,780424,0,1,0,-0.0035,-0.0041,-0.0029
"Vayne",0.5126,2366345,1212988,0.5106,2609520,1332421,1,0,0,0.002,0.0016,0.0024
