"BottomRisk12.champName","BottomRisk12.winRate.x","BottomRisk12.gamesPlayed.x","BottomRisk12.gamesWon.x","BottomRisk12.winRate.y","BottomRisk12.gamesPlayed.y","BottomRisk12.gamesWon.y","BottomRisk12.HOlessequal","BottomRisk12.HOgreaterequal","BottomRisk12.HOequal","BottomRisk12.riskDifference","BottomRisk12.riskLower","BottomRisk12.riskUpper"
"Ashe",0.5107,2341433,1195770,0.5138,2638200,1355507,0,1,0,-0.0031,-0.0035,-0.0027
"Caitlyn",0.5052,2816421,1422856,0.5063,2854421,1445193,0.0044,0.9956,0.0088,-0.0011,-0.0015,-7e-04
"Ezreal",0.5,4692349,2346174,0.4971,4814903,2393488,1,0,0,0.0029,0.0026,0.0032
"Jhin",0.5203,2242161,1166596,0.5222,2352272,1228356,0,1,0,-0.0019,-0.0024,-0.0014
"Jinx",0.5181,1763355,913594,0.5172,1806235,934185,0.9555,0.0445,0.089,9e-04,4e-04,0.0014
"Kai'Sa",0.4804,2180927,1047717,0.4824,2436930,1175575,0,1,0,-0.002,-0.0025,-0.0015
"Vayne",0.5094,2031079,1034632,0.5081,1964180,998000,0.9953,0.0047,0.0094,0.0013,8e-04,0.0018
