"BottomRisk2.champName","BottomRisk2.winRate.x","BottomRisk2.gamesPlayed.x","BottomRisk2.gamesWon.x","BottomRisk2.winRate.y","BottomRisk2.gamesPlayed.y","BottomRisk2.gamesWon.y","BottomRisk2.HOlessequal","BottomRisk2.HOgreaterequal","BottomRisk2.HOequal","BottomRisk2.riskDifference","BottomRisk2.riskLower","BottomRisk2.riskUpper"
"Ashe",0.513,1671027,857237,0.5158,2061208,1063171,0,1,0,-0.0028,-0.0033,-0.0023
"Caitlyn",0.486,3295977,1601845,0.4868,3213722,1564440,0.0206,0.9794,0.0412,-8e-04,-0.0012,-4e-04
"Cassiopeia",0.539,88945,47941,0.533,104619,55762,0.9958,0.0042,0.0084,0.006,0.0037,0.0083
"Jhin",0.5124,2291939,1174390,0.5141,2504390,1287507,1e-04,0.9999,2e-04,-0.0017,-0.0022,-0.0012
"Kai'Sa",0.4662,2213024,1031712,0.4671,2105861,983648,0.0305,0.9695,0.0609,-9e-04,-0.0014,-4e-04
"Kalista",0.4896,211455,103528,0.4964,256069,127113,0,1,0,-0.0068,-0.0083,-0.0053
"Lucian",0.4942,2504062,1237507,0.491,2704584,1327951,1,0,0,0.0032,0.0028,0.0036
"Syndra",0.4892,53648,26245,0.4944,64487,31882,0.0379,0.9621,0.0758,-0.0052,-0.0081,-0.0023
"Tristana",0.4892,1098318,537297,0.4904,1192158,584634,0.0348,0.9652,0.0695,-0.0012,-0.0019,-5e-04
"Twitch",0.5119,342517,175334,0.5099,395795,201816,0.9566,0.0434,0.0867,0.002,8e-04,0.0032
"Vayne",0.5084,1932365,982414,0.5113,2246594,1148684,0,1,0,-0.0029,-0.0034,-0.0024
"Yasuo",0.521,335902,175005,0.5259,374590,196997,0,1,0,-0.0049,-0.0061,-0.0037
