"BottomRisk3.champName","BottomRisk3.winRate.x","BottomRisk3.gamesPlayed.x","BottomRisk3.gamesWon.x","BottomRisk3.winRate.y","BottomRisk3.gamesPlayed.y","BottomRisk3.gamesWon.y","BottomRisk3.HOlessequal","BottomRisk3.HOgreaterequal","BottomRisk3.HOequal","BottomRisk3.riskDifference","BottomRisk3.riskLower","BottomRisk3.riskUpper"
"Ashe",0.5158,2061208,1063171,0.5132,1992788,1022699,1,0,0,0.0026,0.0021,0.0031
"Cassiopeia",0.533,104619,55762,0.5399,97096,52422,0.001,0.999,0.0019,-0.0069,-0.0091,-0.0047
"Jinx",0.5152,2506533,1291366,0.514,2215308,1138668,0.9954,0.0046,0.0092,0.0012,7e-04,0.0017
"Kalista",0.4964,256069,127113,0.5021,328479,164929,0,1,0,-0.0057,-0.007,-0.0044
"Sivir",0.4965,476386,236526,0.4929,442338,218028,0.9997,3e-04,6e-04,0.0036,0.0026,0.0046
"Taliyah",0.51,59217,30201,0.5189,36329,18851,0.0038,0.9962,0.0076,-0.0089,-0.0122,-0.0056
"Vayne",0.5113,2246594,1148684,0.5131,2160173,1108385,1e-04,0.9999,2e-04,-0.0018,-0.0023,-0.0013
"Yasuo",0.5259,374590,196997,0.528,403058,212815,0.0319,0.9681,0.0638,-0.0021,-0.0032,-0.001
