"JungleBalanced6.champName","JungleBalanced6.winRate.x","JungleBalanced6.gamesPlayed.x","JungleBalanced6.gamesWon.x","JungleBalanced6.winRate.y","JungleBalanced6.gamesPlayed.y","JungleBalanced6.gamesWon.y"
"Fiddlesticks",0.4662,202402,94360,0.4736,1413403,669388
"Hecarim",0.4986,659608,328881,0.5004,665308,332920
"Ivern",0.4989,96185,47987,0.509,149771,76233
"Kayn",0.4841,1500255,726273,0.4847,1342958,650932
"Kindred",0.4833,402922,194732,0.487,366724,178595
"Nocturne",0.5049,960464,484938,0.499,891590,444903
"Shaco",0.5053,1086688,549103,0.5079,1075628,546311
"Wukong",0.5375,1403206,754223,0.5261,1223475,643670
"Xin Zhao",0.4835,622995,301218,0.4996,799769,399565
