"JungleBalanced10.champName","JungleBalanced10.winRate.x","JungleBalanced10.gamesPlayed.x","JungleBalanced10.gamesWon.x","JungleBalanced10.winRate.y","JungleBalanced10.gamesPlayed.y","JungleBalanced10.gamesWon.y"
"Diana",0.4712,162025,76346,0.478,116064,55479
"Fiddlesticks",0.5136,808316,415151,0.52,967102,502893
"Graves",0.5099,1907755,972764,0.5038,1306619,658275
"Hecarim",0.4968,561542,278974,0.5101,692498,353243
"Kayn",0.5142,2613831,1344032,0.5151,2214954,1140923
"Nidalee",0.4667,595055,277712,0.471,450169,212030
"Twitch",0.4494,152416,68496,0.4738,140914,66765
"Udyr",0.5149,403806,207920,0.5151,303656,156413
"Volibear",0.5228,448615,234536,0.462,1075474,496869
