"JungleBalanced9.champName","JungleBalanced9.winRate.x","JungleBalanced9.gamesPlayed.x","JungleBalanced9.gamesWon.x","JungleBalanced9.winRate.y","JungleBalanced9.gamesPlayed.y","JungleBalanced9.gamesWon.y"
"Diana",0.4769,215982,103002,0.4712,162025,76346
"Fiddlesticks",0.5076,756702,384102,0.5136,808316,415151
"Karthus",0.4678,322720,150968,0.4715,245793,115891
"Kayn",0.5178,3056734,1582777,0.5142,2613831,1344032
"Nidalee",0.4629,387714,179473,0.4667,595055,277712
"Trundle",0.5207,1066497,555325,0.5209,969746,505141
"Udyr",0.5025,340011,170856,0.5149,403806,207920
"Wukong",0.5115,809589,414105,0.5118,588191,301036
