"JungleBalanced8.champName","JungleBalanced8.winRate.x","JungleBalanced8.gamesPlayed.x","JungleBalanced8.gamesWon.x","JungleBalanced8.winRate.y","JungleBalanced8.gamesPlayed.y","JungleBalanced8.gamesWon.y"
"Evelynn",0.4861,892809,433994,0.4902,849725,416535
"Fiddlesticks",0.5046,835994,421843,0.5076,756702,384102
"Karthus",0.4886,451094,220405,0.4678,322720,150968
"Kayn",0.4831,1450929,700944,0.5178,3056734,1582777
"Master Yi",0.5173,2331633,1206154,0.5167,2260204,1167847
"Sett",0.5055,482767,244039,0.5055,412686,208613
"Trundle",0.5246,1052140,551953,0.5207,1066497,555325
"Wukong",0.5304,1270224,673727,0.5115,809589,414105
