"JungleBalanced12.champName","JungleBalanced12.winRate.x","JungleBalanced12.gamesPlayed.x","JungleBalanced12.gamesWon.x","JungleBalanced12.winRate.y","JungleBalanced12.gamesPlayed.y","JungleBalanced12.gamesWon.y"
"Fiddlesticks",0.5139,906746,465977,0.5093,854650,435273
"Nocturne",0.4918,567688,279189,0.5089,984338,500930
"Nunu",0.5098,466955,238054,0.5158,767253,395749
"Trundle",0.5088,707497,359974,0.5081,642452,326430
"Vi",0.5078,625234,317494,0.5259,944459,496691
"Volibear",0.5353,1091585,584325,0.5435,1456670,791700
