"JungleBalanced4.champName","JungleBalanced4.winRate.x","JungleBalanced4.gamesPlayed.x","JungleBalanced4.gamesWon.x","JungleBalanced4.winRate.y","JungleBalanced4.gamesPlayed.y","JungleBalanced4.gamesWon.y"
"Amumu",0.54,1317394,711393,0.5288,1289491,681883
"Graves",0.4941,463836,229181,0.5056,781461,395107
"Kayn",0.4937,1104029,545059,0.4829,1525745,736782
"Rammus",0.5372,693745,372680,0.5299,783942,415411
"Sett",0.5399,509923,275307,0.5178,503562,260744
"Sylas",0.4828,253766,122518,0.4787,287072,137421
"Udyr",0.5062,306673,155238,0.5088,344839,175454
