"JungleBalanced7.champName","JungleBalanced7.winRate.x","JungleBalanced7.gamesPlayed.x","JungleBalanced7.gamesWon.x","JungleBalanced7.winRate.y","JungleBalanced7.gamesPlayed.y","JungleBalanced7.gamesWon.y"
"Evelynn",0.472,631561,298097,0.4861,892809,433994
"Fiddlesticks",0.4736,1413403,669388,0.5046,835994,421843
"Ivern",0.509,149771,76233,0.5078,137768,69959
"Master Yi",0.519,2489267,1291930,0.5173,2331633,1206154
"Nocturne",0.499,891590,444903,0.495,852617,422045
"Sett",0.516,502148,259108,0.5055,482767,244039
"Wukong",0.5261,1223475,643670,0.5304,1270224,673727
"Xin Zhao",0.4996,799769,399565,0.4994,741045,370078
