"JungleBalanced11.champName","JungleBalanced11.winRate.x","JungleBalanced11.gamesPlayed.x","JungleBalanced11.gamesWon.x","JungleBalanced11.winRate.y","JungleBalanced11.gamesPlayed.y","JungleBalanced11.gamesWon.y"
"Fiddlesticks",0.52,967102,502893,0.5139,906746,465977
"Graves",0.5038,1306619,658275,0.5031,1360244,684339
"Hecarim",0.5101,692498,353243,0.5046,791243,399261
"Trundle",0.5234,816121,427158,0.5088,707497,359974
"Twitch",0.4738,140914,66765,0.4659,145350,67719
"Volibear",0.462,1075474,496869,0.5353,1091585,584325
