"JungleBalanced5.champName","JungleBalanced5.winRate.x","JungleBalanced5.gamesPlayed.x","JungleBalanced5.gamesWon.x","JungleBalanced5.winRate.y","JungleBalanced5.gamesPlayed.y","JungleBalanced5.gamesWon.y"
"Amumu",0.5288,1289491,681883,0.5304,1274013,675736
"Graves",0.5056,781461,395107,0.5071,1039748,527256
"Hecarim",0.4964,511273,253796,0.4986,659608,328881
"Kayn",0.4829,1525745,736782,0.4841,1500255,726273
"Kindred",0.477,340271,162309,0.4833,402922,194732
"Rammus",0.5299,783942,415411,0.5233,875809,458311
"Sett",0.5178,503562,260744,0.5139,483685,248566
"Shaco",0.5161,1096948,566135,0.5053,1086688,549103
"Wukong",0.4621,152256,70357,0.5375,1403206,754223
