"JungleBalanced3.champName","JungleBalanced3.winRate.x","JungleBalanced3.gamesPlayed.x","JungleBalanced3.gamesWon.x","JungleBalanced3.winRate.y","JungleBalanced3.gamesPlayed.y","JungleBalanced3.gamesWon.y"
"Amumu",0.5172,849538,439381,0.54,1317394,711393
"Diana",0.4724,237982,112423,0.4933,383285,189074
"Ekko",0.5137,1769312,908896,0.5137,1591326,817464
"Malphite",0.484,217429,105236,0.4773,207045,98823
"Rammus",0.5091,495595,252307,0.5372,693745,372680
"Sejuani",0.4929,551443,271806,0.505,653295,329914
"Sett",0.5268,536742,282756,0.5399,509923,275307
"Sylas",0.4819,212433,102371,0.4828,253766,122518
"Udyr",0.5101,330248,168460,0.5062,306673,155238
