"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Heimerdinger",4.49,46.38,0.11,1.19,15719
"Kennen",3.46,46.63,0.05,0.29,7988
"Rumble",3.14,46.17,0.07,0.35,10266
"Aurelion Sol",2.12,42.16,0.02,0.14,2384
"Miss Fortune",3.22,43.51,0.5,5.44,73605
"Ivern",5.51,44.95,0.07,0.23,10019
"Neeko",23.64,48.31,0.83,0.69,122806
"Cho'Gath",4.29,45.84,0.14,0.84,21443
"Lissandra",2.79,45.87,0.06,0.52,9433
"Annie",9.16,47.69,0.42,1.33,62570
"Tahm Kench",47.61,44.93,0.69,0.28,101968
"Malphite",29.79,48.92,3.27,4.2,484743
"Veigar",16.28,48.14,1.17,3.06,173375
"Teemo",6.22,46.99,0.5,11.36,73519
"Braum",99.07,48.49,3.5,0.81,517927
"Singed",2.69,40.84,0.06,0.36,8573
"Ornn",3.29,44.67,0.19,2.26,27872
"Nunu",3.99,34.46,0.13,0.44,19613
"Malzahar",2.11,44.81,0.09,5.16,12618
"Anivia",11.35,44.85,0.2,0.38,29928
"Ashe",2.94,44.86,0.44,2.86,64927
"Kayle",2.42,44.14,0.08,0.51,11333
"Volibear",4.07,39.68,0.59,15.31,86900
