"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.11,42.16,0.01,10.96,1613
"Twisted Fate",1.31,41.92,0.04,0.35,7811
"Xin Zhao",0.24,39.59,0.01,0.67,1930
"Urgot",0.12,39,0,2.24,864
"Vladimir",0.3,38.18,0.03,9.59,5210
"Kayle",1.86,43.68,0.06,0.85,11012
"Master Yi",0.1,34.41,0.01,26.42,2674
"Ryze",0.38,34.83,0.03,2.72,4841
"Sivir",0.21,35.95,0.01,0.41,1224
"Warwick",0.09,34.4,0.01,4.19,1465
"Nunu",1.38,33.71,0.04,0.53,8359
"Ashe",1.15,44.56,0.14,2.02,25841
"Tryndamere",0.21,38.43,0.01,6.14,2402
"Jax",0.24,40.57,0.03,11.31,6234
"Singed",1.59,42.04,0.04,0.47,7308
"Evelynn",0.11,33.33,0,4.44,750
"Twitch",0.16,35.97,0.01,0.8,1162
"Karthus",1.77,44.55,0.03,0.5,6337
"Amumu",1.08,46.43,0.06,0.73,10486
"Rammus",0.75,43.95,0.03,4.29,4719
"Dr. Mundo",0.83,41.75,0.04,2.54,7354
"Kassadin",0.23,37.02,0.01,11.25,2469
"Irelia",0.35,35.51,0.03,4.03,5145
"Gangplank",0.34,35.64,0.01,0.87,1776
"Corki",0.15,28.81,0,0.23,236
"Caitlyn",0.15,36.96,0.04,21.58,7659
"Katarina",0.55,42,0.05,7.51,8641
"Nocturne",0.11,40.45,0.01,6.98,1812
"Renekton",0.28,39.72,0.02,6.26,4111
"Jarvan IV",0.36,45.54,0.03,1.26,5152
"Elise",0.14,43.95,0.01,7.8,1982
"Orianna",1.52,44.67,0.07,0.62,12961
"Wukong",1.52,47.26,0.03,0.21,6020
"Lee Sin",0.29,39.81,0.06,25.07,11959
"Vayne",0.14,34.53,0.02,9.83,3704
"Rumble",1.08,46.78,0.04,0.66,7153
"Cassiopeia",0.89,45.33,0.05,5.07,8476
"Skarner",0.87,43.48,0.01,0.1,1550
"Nasus",0.33,37.76,0.02,5.41,4147
"Nidalee",1.71,40.91,0.06,0.66,10988
"Udyr",0.16,31.57,0,0.76,662
"Ezreal",0.46,35.88,0.06,1.55,10761
"Mordekaiser",0.16,40.39,0.02,35.13,4231
"Yorick",0.29,39.92,0.01,1.48,1681
"Akali",0.29,36.82,0.04,28.43,6909
"Kennen",0.82,46.85,0.02,0.71,3688
"Garen",0.46,38.09,0.06,9.44,11396
"Malzahar",1.7,45.25,0.08,5.44,15431
"Talon",0.37,38.96,0.02,4.87,4053
"Riven",0.32,39.52,0.02,1.48,2928
"Shyvana",0.14,35.07,0,0.62,864
"Ahri",1.34,47.7,0.12,3.73,22122
