"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.18,37.83,0.01,5.79,1528
"Twisted Fate",1.17,42.99,0.07,1.44,11501
"Xin Zhao",0.59,41.84,0.02,0.44,2942
"Urgot",0.42,40.15,0.02,5.02,3796
"Vladimir",0.18,31.62,0.01,7.66,2141
"Master Yi",0.2,31.52,0.02,30.63,3382
"Ryze",0.4,32.49,0.02,0.5,2422
"Sivir",0.56,28.5,0.02,0.42,3190
"Tristana",0.54,28.63,0.04,1.88,6322
"Warwick",0.16,34.8,0.01,4.97,1997
"Tryndamere",0.19,28.9,0.01,5.22,1595
"Jax",0.23,37.42,0.03,9.56,4081
"Evelynn",0.17,34.61,0.01,6.58,1179
"Twitch",0.52,32.44,0.03,1,4303
"Amumu",1.86,48.7,0.1,1.02,15489
"Rammus",1.45,44.91,0.06,5.45,8831
"Dr. Mundo",1.37,41.07,0.05,1.25,7421
"Kassadin",0.14,27.33,0.01,13.04,1376
"Irelia",0.16,26.76,0.01,7.01,2324
"Gangplank",0.37,29.59,0.01,0.75,1460
"Corki",0.25,32.71,0,0.28,752
"Trundle",1.87,45.52,0.09,1.31,14105
"Caitlyn",0.42,32.14,0.08,14.99,12273
"Katarina",0.42,37.57,0.03,7.64,4778
"Nocturne",0.13,35.55,0.01,4.44,1741
"Renekton",0.2,33.52,0.02,8.07,2694
"Elise",0.33,41.83,0.01,7.31,2080
"Wukong",0.9,47.17,0.08,7.22,12808
"Lee Sin",0.61,40.62,0.1,18.27,15393
"Vayne",0.33,27.33,0.05,14.38,7789
"Cassiopeia",0.45,40.09,0.02,4.78,3557
"Skarner",1.99,42.05,0.01,0.08,2207
"Nasus",0.34,37.76,0.02,7.57,3806
"Udyr",0.32,34.01,0.01,0.45,985
"Ezreal",0.45,31.64,0.14,22.06,22559
"Mordekaiser",0.67,38.9,0.07,13.47,11673
"Yorick",0.28,34.67,0.01,1.63,1575
"Akali",0.27,31.6,0.02,6.87,3532
"Garen",0.29,32.39,0.04,13.08,6685
"Talon",0.26,31.28,0.01,4.42,1992
"Riven",0.4,35.45,0.01,0.57,2178
"Kog'Maw",1.16,44.41,0.04,0.56,5530
