"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Galio",65.98,48.8,1.87,0.44,289688
"Sion",5.15,50.2,0.08,0.11,12370
"LeBlanc",95.67,47.72,6.21,11.04,963175
"Gangplank",10.27,47.39,0.29,0.77,45631
"Zyra",6.3,50.58,0.28,1.79,43082
"Karma",8.57,49.16,0.38,0.33,59365
"Aphelios",2.26,43.23,0.18,42.05,28517
"Irelia",47.68,45.23,3.68,3.55,570521
"Orianna",96.26,49.06,4.53,0.64,702457
"Aatrox",10.06,48.4,0.64,3.74,99370
"Urgot",2.8,50.06,0.09,1.76,13894
"Corki",78.29,46.41,0.56,0.19,87424
"Nasus",3.01,50.04,0.19,4.68,29707
"Ryze",64.61,45.58,4.01,1.79,622401
"Fiddlesticks",4.79,48.78,0.14,0.66,22134
"Ezreal",3.98,42.46,0.55,1.5,84842
"Nunu",2.48,37.01,0.07,0.43,11210
"Brand",15.59,49.7,1.1,6.55,171152
"Varus",3.18,45.57,0.18,0.32,27855
"Azir",94.01,45.26,1.19,0.19,184795
"Kog'Maw",4.59,47.72,0.05,0.09,8348
"Tristana",6.52,47.32,0.51,1.33,79625
"Lissandra",88.12,48.59,1.58,0.34,245564
