"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.52,48.48,0.03,5.99,5427
"Fiddlesticks",1.61,48.01,0.09,3.91,15042
"Master Yi",1.58,51.25,0.18,34.22,31692
"Alistar",0.32,37.66,0.01,0.58,2252
"Sivir",0.68,42.82,0.03,0.48,5114
"Soraka",1.01,46.41,0.08,2.42,14197
"Warwick",0.18,44.4,0.02,6.61,2919
"Nunu",1.53,28.21,0.05,0.47,9429
"Miss Fortune",0.44,41.93,0.08,7.57,13810
"Ashe",0.46,41.5,0.07,2.78,11778
"Jax",1.11,49.8,0.14,9.92,23817
"Evelynn",0.16,38.93,0.01,5.78,1382
"Twitch",0.64,48.45,0.03,0.79,4772
"Amumu",0.25,42.8,0.02,1.34,2764
"Rammus",0.53,43.81,0.02,5.63,3652
"Shaco",1.11,50.86,0.07,8.81,12016
"Dr. Mundo",1.5,49.57,0.06,1.67,10720
"Sona",0.64,44.71,0.02,0.25,4346
"Janna",0.37,39.61,0.02,0.31,3113
"Trundle",0.27,42.39,0.02,1.84,3116
"Caitlyn",0.51,42.09,0.1,16.12,17162
"Blitzcrank",0.23,33.86,0.03,32.31,4453
"Maokai",1.35,52.68,0.09,2.57,16346
"Jarvan IV",0.88,49.41,0.05,0.94,9320
"Elise",0.19,41.26,0.01,8.25,1677
"Lee Sin",0.43,43.56,0.07,17.95,12284
"Vayne",0.88,48.34,0.15,14.11,25776
"Skarner",0.49,43.71,0,0.06,517
"Udyr",0.4,43.11,0.01,0.64,1779
"Poppy",1.63,50.71,0.06,0.49,9741
"Yorick",1.34,51.86,0.04,1.64,7376
"Leona",0.11,36.51,0.01,25.21,2306
"Shen",1.12,50.3,0.07,0.85,12285
"Shyvana",0.79,49.26,0.04,2.1,6931
"Volibear",1.24,52.14,0.07,1.42,11450
"Rengar",0.07,41.1,0,2.31,489
"Nautilus",0.73,46.1,0.09,24.64,15721
"Sejuani",0.34,44.21,0.01,0.34,1633
"Draven",1.16,48.13,0.05,7.23,9366
"Hecarim",0.27,44.66,0.01,0.84,1742
"Kha'Zix",0.54,48.83,0.03,2.09,5235
"Darius",1.76,50.2,0.19,48.39,33624
"Kayn",1.86,50.5,0.3,17.03,52665
"Kai'Sa",0.83,41.42,0.11,1.59,18753
"Gnar",1.29,48.94,0.04,0.79,6297
"Zac",0.63,52.81,0.05,8.97,8858
"Braum",0.1,30.95,0,0.85,643
"Jhin",1.26,48.12,0.19,4.38,32572
"Kindred",1.14,46.39,0.02,0.36,4197
"Jinx",0.23,42,0.03,1.65,4736
"Tahm Kench",1.12,40.08,0.02,0.3,2914
"Senna",0.61,42.55,0.05,5.55,9044
"Nami",0.11,35.14,0.01,0.47,1215
"Yuumi",0.26,20.99,0.03,29.19,5589
"Thresh",0.1,27.02,0.02,7.22,2902
"Rek'Sai",0.2,50.17,0.01,1.58,881
"Ivern",1.24,42.11,0.01,0.19,1850
"Bard",0.39,34.76,0.01,0.92,2621
"Rakan",0.48,44.05,0.02,0.32,3044
"Xayah",0.3,39.92,0.01,0.64,2425
"Aphelios",0.55,39.37,0.04,10.06,6507
"Graves",2.01,54.58,0.23,14.71,40445
"Ekko",40.58,51.29,6.45,17.16,1132516
"Wukong",6.92,53.52,0.48,7.75,84246
"Yasuo",71.2,50.54,12.84,48.89,2252737
"Kled",9.66,54.69,0.24,1.75,42079
"Cassiopeia",76.2,51.06,3.79,4.32,664298
"Syndra",88.56,50.71,8.02,6.39,1406952
"Fiora",2.58,52.14,0.2,8.97,35505
"Pyke",10.62,52.28,1.09,17.39,190691
"Taric",4.32,64.17,0.12,0.52,20721
"Sett",3.46,51.13,0.44,17,77764
"Diana",87.4,51.8,8.31,17.25,1457748
"Galio",69.79,51.95,4.18,2.44,733600
"Annie",84.71,52.39,4.01,1.17,702966
"Fizz",96.84,51.8,8.02,20.38,1408218
"Garen",5.62,52.76,0.81,13.96,141469
"Lulu",2.42,50.92,0.22,3.71,38737
"Camille",8.44,51.38,0.27,0.51,46668
"Vel'Koz",49.15,52.86,2.66,1.3,467251
"Katarina",97.48,50.49,6.88,8.74,1207572
"Tryndamere",4.94,51.9,0.3,5.82,52610
"Mordekaiser",10.28,52.2,1.16,16.78,202882
"Renekton",9.17,51.03,0.88,8.83,153942
"Rumble",57.3,51.81,1.33,0.36,233352
"Zilean",15.18,52.77,0.54,1.04,94518
"Ahri",96.51,51.35,7.17,2.65,1259088
"Quinn",7.93,52.17,0.22,1.96,38357
"Vladimir",63.84,50.08,5.01,8.31,879795
"Talon",96.16,49.77,5.39,5.4,945996
"Heimerdinger",48,51,1.17,1.19,205144
"Nocturne",20.69,53.21,1.11,3.11,195256
"Xerath",48.22,50.9,2.8,2.14,491566
"Orianna",95.98,50.39,4.27,0.6,749635
"Morgana",8.62,52.4,1.16,35.86,203296
"Aurelion Sol",93.96,51.1,0.7,0.15,122221
"Neeko",63.19,50.88,2.26,0.69,396972
"Aatrox",8.17,49.97,0.54,4.5,94000
"Taliyah",33.6,50.15,0.27,0.05,48103
"Kassadin",95.4,49.75,5.87,14.03,1029676
"Anivia",83.21,51.54,1.52,0.39,267015
"Lux",33.87,50.65,5.35,4.46,939320
"Zoe",93.84,48.23,3.27,2.7,573629
"Illaoi",2.56,52.5,0.11,10.85,19085
"Swain",14.32,52.84,0.71,2.19,125417
"Malphite",12.65,51.49,1.32,4.04,232189
"Malzahar",91.3,51.72,3.88,5.08,681291
"Zed",96.27,49.75,9.45,28.57,1657840
"Urgot",2.1,52.82,0.13,4.89,22224
"Riven",7.41,49.55,0.27,0.63,48218
"Veigar",72.88,50.83,5.48,3.28,961648
"Kennen",20.07,51.08,0.31,0.31,53569
"Qiyana",88.2,46.72,1.86,0.64,327264
"Sylas",56.86,48.34,6.59,14.12,1156537
"Teemo",5,51.12,0.41,11.77,72674
"Karthus",11.91,46.33,0.2,0.68,35790
"Singed",2.05,50.23,0.05,0.36,7906
"Jayce",26.88,49.2,0.76,0.51,133750
"Twisted Fate",93.15,49.17,4.72,0.49,828715
"Cho'Gath",21.54,50.76,0.81,0.94,141368
"Pantheon",50.57,48.33,3.06,4.04,536621
"Kalista",3.9,47.68,0.14,1.18,23961
"Nasus",2.49,51.77,0.22,10.94,38440
"Irelia",42.29,46.2,4.34,7.25,762085
"Karma",6.62,48.45,0.33,0.39,58432
"Ornn",6.24,49.19,0.39,2.75,67870
"Ziggs",65.05,50.08,1.79,0.23,313327
"Gragas",6.97,48.69,0.17,0.2,29268
"LeBlanc",96.31,47.35,6.49,12.2,1139224
"Varus",2.11,46.87,0.23,14.64,40358
"Xin Zhao",2.3,49.92,0.09,0.54,16460
"Nidalee",2.54,42.41,0.09,0.76,16525
"Zyra",6.21,50.56,0.29,2.44,51566
"Kayle",11.54,50.27,0.4,0.56,69335
"Ezreal",2.37,43.58,0.64,7.43,111602
"Gangplank",10.12,46.58,0.3,0.73,52401
"Sion",3.95,49.98,0.1,0.17,17315
"Viktor",88.73,50.04,1.86,0.21,327009
"Tristana",5.99,47.96,0.52,2.15,92127
"Lucian",11.72,46.23,1.97,3.38,345604
"Azir",95.06,45.63,1.75,0.3,306567
"Lissandra",89.45,49.28,2.18,0.56,382630
"Akali",70.54,44.37,4.91,5,861182
"Brand",13.93,49.37,0.94,7.82,165281
"Kog'Maw",9.26,45.95,0.15,0.17,26083
"Ryze",73.84,46.36,2.88,0.51,505348
"Vi",2.25,47.77,0.1,0.69,18249
"Corki",88.66,48.03,1.92,0.31,336307
