"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.54,48.1,0.03,6.15,4950
"Master Yi",1.81,52.32,0.2,32.46,30060
"Alistar",0.36,36.39,0.01,0.57,2006
"Sivir",0.81,43.08,0.03,0.44,4508
"Soraka",0.85,44.04,0.06,2.28,9461
"Warwick",0.18,44.27,0.02,6.02,2374
"Nunu",1.65,28.35,0.05,0.44,8113
"Miss Fortune",0.55,42.79,0.09,5.44,12622
"Ashe",0.49,43.18,0.07,2.86,10756
"Jax",1.2,50.01,0.14,9.89,21418
"Evelynn",0.16,39.76,0.01,6.67,1235
"Twitch",0.73,49.09,0.03,0.81,4592
"Amumu",0.27,41.51,0.02,1.24,2426
"Rammus",0.56,42.67,0.02,5.33,3178
"Shaco",1.11,49.35,0.07,8.32,10015
"Dr. Mundo",1.57,48.64,0.06,1.53,9129
"Sona",0.61,42.67,0.02,0.23,3267
"Janna",0.37,37.2,0.02,0.29,2382
"Trundle",0.27,42.72,0.02,1.86,2554
"Caitlyn",0.59,43.99,0.11,16.16,16504
"Blitzcrank",0.24,34.81,0.03,30.47,3858
"Maokai",1.32,51.23,0.08,1.66,11258
"Jarvan IV",0.96,49.41,0.05,0.82,7557
"Elise",0.22,42.41,0.01,7.96,1488
"Lee Sin",0.48,43.2,0.08,18.18,11396
"Vayne",0.97,48.17,0.16,15.13,23936
"Skarner",0.57,43.34,0,0.06,503
"Udyr",0.43,42.18,0.01,0.55,1439
"Poppy",1.74,49.73,0.07,0.52,9894
"Yorick",1.36,51.78,0.04,1.57,5885
"Leona",0.13,39.04,0.01,24.19,2136
"Shen",1.19,51.17,0.08,0.84,11383
"Shyvana",0.83,50.1,0.04,1.99,6255
"Volibear",1.59,40.39,0.23,15.31,33892
"Rengar",0.09,38.96,0,2.15,480
"Nautilus",0.71,45.49,0.08,24.18,12591
"Sejuani",0.31,42.28,0.01,0.29,1095
"Draven",1.35,48.32,0.07,7.35,9728
"Hecarim",0.26,44.8,0.01,1.43,2058
"Kha'Zix",0.64,50.74,0.03,1.9,4793
"Darius",1.81,51.05,0.2,48.59,29155
"Kayn",1.34,50.31,0.22,16.25,32024
"Kai'Sa",0.86,43.63,0.14,2.49,20363
"Gnar",1.34,48.89,0.04,0.84,5921
"Zac",0.63,54.18,0.05,8.03,7336
"Braum",0.11,29.11,0,0.81,560
"Jhin",1.45,48.87,0.22,4.78,32829
"Kindred",1.23,48.94,0.03,0.37,4023
"Jinx",0.25,43.16,0.03,1.7,4453
"Tahm Kench",1.33,44.67,0.02,0.28,2854
"Senna",0.59,43.37,0.06,5.5,9441
"Vi",1.24,48.23,0.05,0.62,7686
"Nami",0.12,35.21,0.01,0.46,1065
"Yuumi",0.25,19.82,0.03,35.08,4828
"Thresh",0.11,27.57,0.02,7.17,2539
"Rek'Sai",0.27,47.32,0.01,1.57,1008
"Bard",0.44,37.67,0.02,0.92,3000
"Rakan",0.55,43.75,0.02,0.32,2784
"Xayah",0.34,41.06,0.01,0.6,2216
"Aphelios",0.57,41.16,0.04,10.25,6443
"Yasuo",72.64,51.44,14.22,49.59,2106352
"Ekko",40.56,51.13,6.36,16.54,942603
"Graves",2.09,53.79,0.2,12.63,28907
"Wukong",6.77,53.32,0.49,6.14,72252
"Diana",88.6,51.82,8.03,15.53,1190197
"Pyke",11.16,52.11,1.11,16.36,164242
"Cassiopeia",77.98,51.08,4.29,4.57,635697
"Camille",8.45,51.64,0.28,0.54,41265
"Sett",3.81,51.02,0.48,14.25,71189
"Galio",70.7,51.99,4.15,2.16,615506
"Katarina",97.5,50.38,7.14,8.09,1057314
"Lulu",2.2,51.39,0.21,4.76,31011
"Taric",4.31,64.99,0.12,0.48,17720
"Fiora",2.7,51.38,0.19,8.95,28150
"Fiddlesticks",2.22,52.1,0.19,8.9,27625
"Kled",9.68,54.71,0.23,1.51,34072
"Vel'Koz",51.53,52.79,2.93,1.3,434462
"Mordekaiser",11.03,52.18,1.22,15.28,180556
"Zilean",14.81,52.5,0.48,0.86,71463
"Aurelion Sol",94.04,51.51,0.72,0.14,105962
"Garen",5.84,53.13,0.81,12.31,120581
"Lux",34.43,52.28,5.89,4.72,872778
"Fizz",96.9,51.71,8.02,20.24,1188722
"Annie",86.15,52.38,3.97,1.33,588571
"Morgana",8.64,52.14,1.11,34.17,164635
"Ahri",96.36,51.09,7.04,2.66,1042680
"Tryndamere",5.14,52.19,0.32,6.04,47125
"Nocturne",23.15,53,1.22,2.9,180149
"Orianna",96.1,50.13,4.34,0.66,643687
"Quinn",7.74,52.4,0.22,2.12,32328
"Renekton",9.75,50.72,0.9,8.8,133630
"Malzahar",91.55,51.41,3.69,5.16,546679
"Xerath",48.86,50.72,2.69,2,398790
"Vladimir",65.01,49.92,5.09,8,753429
"Aatrox",8.17,49.72,0.51,4.64,76260
"Rumble",59.01,51.39,1.3,0.35,193203
"Twisted Fate",93.82,49.31,5.2,0.66,770318
"Heimerdinger",48.53,50.85,1.15,1.19,169936
"Riven",7.88,48.99,0.29,0.66,42897
"Kalista",3.07,48.78,0.12,1.22,17192
"Urgot",2.1,52.71,0.13,4.99,19158
"Malphite",11.84,51.57,1.3,4.2,192710
