"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.55,48.13,0.03,5.79,4731
"Master Yi",1.84,51.64,0.2,30.63,31269
"Alistar",0.38,35.78,0.01,0.51,2040
"Sivir",0.92,43.27,0.03,0.42,5248
"Soraka",0.81,43.37,0.06,2.23,9230
"Warwick",0.23,43.72,0.02,4.97,2994
"Miss Fortune",0.66,43.75,0.09,3.49,13478
"Ashe",0.46,41.94,0.08,4.53,12535
"Jax",1.24,50.36,0.14,9.56,22284
"Evelynn",0.19,40.91,0.01,6.58,1342
"Twitch",0.71,48.96,0.04,1,5884
"Amumu",0.3,42.75,0.02,1.02,2475
"Rammus",0.58,46.22,0.02,5.45,3555
"Shaco",1.24,50.36,0.08,7.75,12249
"Dr. Mundo",1.8,48.94,0.06,1.25,9773
"Sona",0.63,43.75,0.02,0.27,3698
"Janna",0.45,40.31,0.02,0.22,2803
"Trundle",0.31,40.5,0.01,1.31,2348
"Caitlyn",0.64,44.09,0.12,14.99,18482
"Blitzcrank",0.28,35.52,0.03,30.04,4575
"Maokai",1.42,52.25,0.07,0.86,10498
"Jarvan IV",1.13,49.28,0.05,0.61,8150
"Elise",0.24,42.29,0.01,7.31,1518
"Lee Sin",0.51,43.51,0.08,18.27,12978
"Vayne",1,49.32,0.15,14.38,23895
"Skarner",0.8,46.99,0.01,0.08,881
"Nidalee",1.78,42.93,0.07,0.96,10769
"Udyr",0.49,41.43,0.01,0.45,1506
"Poppy",1.86,49.98,0.06,0.7,9989
"Yorick",1.27,51.73,0.04,1.63,7044
"Leona",0.13,36.85,0.01,21.43,2087
"Shen",1.22,49.91,0.08,0.95,12836
"Shyvana",0.93,50.59,0.05,1.89,7154
"Graves",1.86,53.04,0.18,11.75,28390
"Volibear",1.21,50.49,0.21,24.84,32596
"Rengar",0.09,37.14,0,1.78,482
"Nautilus",0.68,45.46,0.08,22.79,12842
"Sejuani",0.42,44.55,0.01,0.25,1340
"Draven",1.39,48.97,0.06,6.92,10160
"Hecarim",0.27,45.36,0.01,1.36,1940
"Kha'Zix",0.72,48.6,0.03,1.59,5117
"Darius",1.95,50.68,0.21,50.18,32643
"Kayn",1.03,50.88,0.17,15.96,26332
"Kai'Sa",0.91,44.01,0.14,2.33,22643
"Gnar",1.3,47.68,0.05,1.12,7271
"Zac",0.74,52.68,0.05,6.13,8079
"Braum",0.1,28.82,0,0.71,510
"Jhin",1.46,49.82,0.22,5.21,35267
"Kindred",1.87,46.76,0.04,0.36,6557
"Jinx",0.26,43.11,0.03,1.58,4827
"Tahm Kench",1.42,44.93,0.02,0.3,3637
"Senna",0.77,45.62,0.11,10.23,17630
"Vi",0.86,49.03,0.05,0.96,8342
"Nami",0.14,37.58,0.01,0.36,1224
