"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.5,47.02,0.03,6.31,5689
"Fiddlesticks",1.84,47.56,0.09,4.24,17994
"Master Yi",1.51,51.72,0.18,34.97,36150
"Alistar",0.34,35.13,0.01,0.6,2747
"Sivir",0.71,41.88,0.02,0.38,4458
"Soraka",0.81,42.62,0.05,1.17,9183
"Warwick",0.19,44.68,0.02,6.91,3635
"Nunu",1.54,28.79,0.05,0.47,9882
"Miss Fortune",0.4,42.85,0.09,9.96,17383
"Ashe",0.45,40.82,0.07,2.81,13571
"Jax",1.08,50,0.13,10.06,26271
"Singed",1.88,50.51,0.04,0.35,7979
"Evelynn",0.18,39.92,0.01,4.51,1508
"Twitch",0.59,46.31,0.03,0.79,5129
"Amumu",0.23,41.04,0.01,1.39,2892
"Rammus",0.48,42.7,0.02,5.94,3897
"Shaco",1.2,50.36,0.08,9.31,15349
"Dr. Mundo",1.48,49.03,0.06,1.8,11990
"Sona",0.67,45.26,0.03,0.25,5269
"Janna",0.38,37.62,0.02,0.28,3426
"Trundle",0.28,43.12,0.02,1.77,3636
"Caitlyn",0.55,43.11,0.11,16.79,20886
"Blitzcrank",0.21,32.93,0.02,32.2,4728
"Maokai",1.26,52.68,0.1,3.31,20321
"Jarvan IV",0.82,49.77,0.05,1.12,10551
"Elise",0.23,43.72,0.01,8.16,2150
"Lee Sin",0.47,44.64,0.08,18.3,15259
"Vayne",0.88,48.03,0.15,13.93,29343
"Skarner",0.46,45.66,0,0.06,565
"Udyr",0.42,38.85,0.01,0.45,1565
"Poppy",1.65,49.4,0.05,0.43,10051
"Yorick",1.24,51.82,0.04,1.52,7634
"Leona",0.1,35.86,0.01,26.4,2465
"Shen",1.1,50.25,0.07,0.83,13252
"Shyvana",0.93,50.13,0.04,2.23,8867
"Graves",2,54.52,0.23,10.36,46563
"Volibear",1.19,52.28,0.06,1.29,12586
"Rengar",0.07,37.83,0,2.22,563
