"SupportRisk13.champName","SupportRisk13.winRate.x","SupportRisk13.gamesPlayed.x","SupportRisk13.gamesWon.x","SupportRisk13.winRate.y","SupportRisk13.gamesPlayed.y","SupportRisk13.gamesWon.y","SupportRisk13.HOlessequal","SupportRisk13.HOgreaterequal","SupportRisk13.HOequal","SupportRisk13.riskDifference","SupportRisk13.riskLower","SupportRisk13.riskUpper"
"Braum",0.4861,505004,245482,0.4884,475505,232237,0.0113,0.9887,0.0227,-0.0023,-0.0033,-0.0013
"Janna",0.5222,611165,319150,0.5204,596182,310253,0.9761,0.0239,0.0478,0.0018,9e-04,0.0027
"Karma",0.4998,999188,499394,0.4966,1059826,526310,1,0,0,0.0032,0.0025,0.0039
"Lulu",0.5144,1592030,818940,0.5154,1707980,880293,0.0346,0.9654,0.0693,-0.001,-0.0016,-4e-04
"Lux",0.5041,1759432,886930,0.5025,1763294,886055,0.9987,0.0013,0.0027,0.0016,0.0011,0.0021
"Nami",0.5154,844992,435509,0.5127,788548,404289,0.9997,3e-04,6e-04,0.0027,0.0019,0.0035
"Nautilus",0.5015,1823337,914404,0.4999,1791998,895820,0.9988,0.0012,0.0023,0.0016,0.0011,0.0021
"Pantheon",0.4956,161256,79918,0.4994,232989,116355,0.0094,0.9906,0.0188,-0.0038,-0.0054,-0.0022
"Sett",0.4793,512769,245770,0.4811,531682,255792,0.0328,0.9672,0.0657,-0.0018,-0.0028,-8e-04
"Thresh",0.4876,2386919,1163862,0.4863,2426165,1179844,0.9978,0.0022,0.0043,0.0013,8e-04,0.0018
"Vel'Koz",0.5157,411625,212275,0.512,410011,209926,0.9996,4e-04,8e-04,0.0037,0.0026,0.0048
"Zilean",0.5189,416772,216263,0.5153,398617,205407,0.9994,6e-04,0.0011,0.0036,0.0025,0.0047
