"SupportRisk3.champName","SupportRisk3.winRate.x","SupportRisk3.gamesPlayed.x","SupportRisk3.gamesWon.x","SupportRisk3.winRate.y","SupportRisk3.gamesPlayed.y","SupportRisk3.gamesWon.y","SupportRisk3.HOlessequal","SupportRisk3.HOgreaterequal","SupportRisk3.HOequal","SupportRisk3.riskDifference","SupportRisk3.riskLower","SupportRisk3.riskUpper"
"Bard",0.5157,675341,348273,0.5192,681028,353590,0,1,0,-0.0035,-0.0044,-0.0026
"Blitzcrank",0.5253,2233637,1173330,0.5233,2133335,1116374,1,0,0,0.002,0.0015,0.0025
"Brand",0.5191,953658,495044,0.5216,916861,478235,3e-04,0.9997,6e-04,-0.0025,-0.0032,-0.0018
"Janna",0.5182,686444,355715,0.5247,654643,343491,0,1,0,-0.0065,-0.0074,-0.0056
"Karma",0.4927,582542,287018,0.497,568129,282360,0,1,0,-0.0043,-0.0052,-0.0034
"Lulu",0.5062,931779,471667,0.511,890917,455259,0,1,0,-0.0048,-0.0055,-0.0041
"Maokai",0.5206,117622,61234,0.5266,153606,80889,0.001,0.999,0.0019,-0.006,-0.0079,-0.0041
"Morgana",0.4892,1963818,960700,0.4902,1914586,938530,0.0245,0.9755,0.0489,-0.001,-0.0015,-5e-04
"Nami",0.5307,1465077,777516,0.5351,1340349,717221,0,1,0,-0.0044,-0.005,-0.0038
"Poppy",0.4744,57279,27173,0.4811,58493,28141,0.0112,0.9888,0.0224,-0.0067,-0.0096,-0.0038
"Pyke",0.488,1869528,912330,0.4892,1752602,857373,0.0112,0.9888,0.0224,-0.0012,-0.0017,-7e-04
"Rakan",0.49,716902,351282,0.4928,670827,330584,5e-04,0.9995,0.001,-0.0028,-0.0036,-0.002
"Sion",0.4866,29006,14114,0.4945,28864,14273,0.0286,0.9714,0.0573,-0.0079,-0.0121,-0.0037
"Tahm Kench",0.4521,154000,69623,0.4449,139518,62072,1,0,1e-04,0.0072,0.0054,0.009
"Volibear",0.4927,56125,27653,0.498,63210,31479,0.0337,0.9663,0.0674,-0.0053,-0.0082,-0.0024
"Xerath",0.4959,422642,209588,0.5007,404193,202379,0,1,0,-0.0048,-0.0059,-0.0037
"Zilean",0.5163,399532,206278,0.5196,420549,218517,0.0014,0.9986,0.0028,-0.0033,-0.0044,-0.0022
"Zyra",0.5168,676572,349652,0.5153,636076,327770,0.9571,0.0429,0.0858,0.0015,6e-04,0.0024
