"SupportRisk10.champName","SupportRisk10.winRate.x","SupportRisk10.gamesPlayed.x","SupportRisk10.gamesWon.x","SupportRisk10.winRate.y","SupportRisk10.gamesPlayed.y","SupportRisk10.gamesWon.y","SupportRisk10.HOlessequal","SupportRisk10.HOgreaterequal","SupportRisk10.HOequal","SupportRisk10.riskDifference","SupportRisk10.riskLower","SupportRisk10.riskUpper"
"Bard",0.5117,661734,338609,0.5101,674790,344210,0.9679,0.0321,0.0643,0.0016,7e-04,0.0025
"Blitzcrank",0.5152,1949201,1004228,0.513,1563757,802207,1,0,0,0.0022,0.0017,0.0027
"Leona",0.508,2092433,1062956,0.509,1681892,856083,0.0267,0.9733,0.0534,-0.001,-0.0015,-5e-04
"Lulu",0.509,1528882,778201,0.5108,1356869,693089,0.0011,0.9989,0.0023,-0.0018,-0.0024,-0.0012
"Malphite",0.4936,418988,206812,0.4892,484743,237136,1,0,0,0.0044,0.0033,0.0055
"Morgana",0.494,2068456,1021817,0.4921,1676869,825187,0.9999,1e-04,3e-04,0.0019,0.0014,0.0024
"Pyke",0.4896,1571696,769502,0.4877,1280361,624432,0.9993,7e-04,0.0014,0.0019,0.0013,0.0025
"Senna",0.4956,1405889,696759,0.4971,1517008,754105,0.0052,0.9948,0.0104,-0.0015,-0.0021,-9e-04
"Shaco",0.528,193318,102072,0.5237,155623,81500,0.9943,0.0057,0.0115,0.0043,0.0026,0.006
"Xerath",0.5091,500183,254643,0.5031,395195,198823,1,0,0,0.006,0.0049,0.0071
"Yuumi",0.4965,2147317,1066143,0.5007,1887977,945310,0,1,0,-0.0042,-0.0047,-0.0037
"Ziggs",0.4917,44891,22073,0.4855,34802,16896,0.9591,0.0409,0.0818,0.0062,0.0026,0.0098
