"SupportRisk1.champName","SupportRisk1.winRate.x","SupportRisk1.gamesPlayed.x","SupportRisk1.gamesWon.x","SupportRisk1.winRate.y","SupportRisk1.gamesPlayed.y","SupportRisk1.gamesWon.y","SupportRisk1.HOlessequal","SupportRisk1.HOgreaterequal","SupportRisk1.HOequal","SupportRisk1.riskDifference","SupportRisk1.riskLower","SupportRisk1.riskUpper"
"Annie",0.4607,65297,30082,0.4688,56267,26378,0.0024,0.9976,0.0047,-0.0081,-0.011,-0.0052
"Bard",0.5091,568672,289511,0.5124,514877,263823,3e-04,0.9997,6e-04,-0.0033,-0.0043,-0.0023
"Braum",0.4889,704365,344364,0.486,654535,318104,0.9996,4e-04,7e-04,0.0029,0.002,0.0038
"Galio",0.4681,138687,64919,0.4722,115927,54741,0.0194,0.9806,0.0387,-0.0041,-0.0061,-0.0021
"Janna",0.5161,901922,465482,0.5182,684467,354691,0.0044,0.9956,0.0087,-0.0021,-0.0029,-0.0013
"Lux",0.4811,1922563,924945,0.482,1530316,737612,0.0482,0.9518,0.0964,-9e-04,-0.0014,-4e-04
"Malphite",0.4828,491697,237391,0.4861,446805,217192,7e-04,0.9993,0.0014,-0.0033,-0.0043,-0.0023
"Morgana",0.4905,2406590,1180432,0.4893,1865575,912826,0.9931,0.0069,0.0139,0.0012,7e-04,0.0017
"Neeko",0.4677,157626,73722,0.4736,126533,59926,9e-04,0.9991,0.0017,-0.0059,-0.0078,-0.004
"Poppy",0.4666,55914,26089,0.4756,52284,24866,0.0015,0.9985,0.003,-0.009,-0.012,-0.006
"Pyke",0.4828,1966035,949202,0.4872,1662467,809954,0,1,0,-0.0044,-0.0049,-0.0039
"Tahm Kench",0.4461,138433,61755,0.4603,149734,68923,0,1,0,-0.0142,-0.0161,-0.0123
"Taric",0.5308,364909,193694,0.5263,340583,179249,0.9999,1e-04,2e-04,0.0045,0.0033,0.0057
"Veigar",0.4725,262922,124231,0.4759,218700,104079,0.0094,0.9906,0.0187,-0.0034,-0.0048,-0.002
"Vel'Koz",0.5083,484059,246047,0.5063,410669,207922,0.9703,0.0297,0.0595,0.002,9e-04,0.0031
"Volibear",0.485,61845,29995,0.4901,54591,26755,0.0413,0.9587,0.0825,-0.0051,-0.008,-0.0022
"Yuumi",0.4573,601462,275049,0.4661,542631,252920,0,1,0,-0.0088,-0.0097,-0.0079
