"SupportRisk8.champName","SupportRisk8.winRate.x","SupportRisk8.gamesPlayed.x","SupportRisk8.gamesWon.x","SupportRisk8.winRate.y","SupportRisk8.gamesPlayed.y","SupportRisk8.gamesWon.y","SupportRisk8.HOlessequal","SupportRisk8.HOgreaterequal","SupportRisk8.HOequal","SupportRisk8.riskDifference","SupportRisk8.riskLower","SupportRisk8.riskUpper"
"Anivia",0.4548,42385,19277,0.4427,42238,18699,0.9998,2e-04,4e-04,0.0121,0.0087,0.0155
"Braum",0.4835,835967,404190,0.4852,781460,379164,0.0153,0.9847,0.0307,-0.0017,-0.0025,-9e-04
"Lulu",0.5081,1517501,771042,0.5103,1637432,835582,0,1,1e-04,-0.0022,-0.0028,-0.0016
"Lux",0.4912,2207011,1084084,0.4893,2105600,1030270,1,0,1e-04,0.0019,0.0014,0.0024
"Morgana",0.4964,2600204,1290741,0.4954,2452065,1214753,0.9877,0.0123,0.0247,0.001,6e-04,0.0014
"Nautilus",0.4998,2430767,1214897,0.5015,2348190,1177617,1e-04,0.9999,2e-04,-0.0017,-0.0022,-0.0012
"Neeko",0.4884,176664,86283,0.4851,178239,86464,0.9754,0.0246,0.0492,0.0033,0.0016,0.005
"Pyke",0.4875,1872679,912931,0.4887,1824141,891458,0.0105,0.9895,0.021,-0.0012,-0.0017,-7e-04
"Sona",0.5221,755759,394582,0.5245,771426,404613,0.0015,0.9985,0.003,-0.0024,-0.0032,-0.0016
"Tahm Kench",0.4468,169981,75948,0.4516,158298,71487,0.0029,0.9971,0.0058,-0.0048,-0.0065,-0.0031
"Thresh",0.4851,3300425,1601036,0.4871,3275640,1595564,0,1,0,-0.002,-0.0024,-0.0016
"Yuumi",0.4915,2044259,1004753,0.4959,2303339,1142226,0,1,0,-0.0044,-0.0049,-0.0039
"Zyra",0.5174,976208,505090,0.5207,894626,465832,0,1,0,-0.0033,-0.004,-0.0026
