"SupportRisk11.champName","SupportRisk11.winRate.x","SupportRisk11.gamesPlayed.x","SupportRisk11.gamesWon.x","SupportRisk11.winRate.y","SupportRisk11.gamesPlayed.y","SupportRisk11.gamesWon.y","SupportRisk11.HOlessequal","SupportRisk11.HOgreaterequal","SupportRisk11.HOequal","SupportRisk11.riskDifference","SupportRisk11.riskLower","SupportRisk11.riskUpper"
"Bard",0.5101,674790,344210,0.5158,686663,354181,0,1,0,-0.0057,-0.0066,-0.0048
"Braum",0.4849,517927,251143,0.4879,496044,242020,0.0013,0.9987,0.0025,-0.003,-0.004,-0.002
"Leona",0.509,1681892,856083,0.5071,1627771,825443,0.9997,3e-04,5e-04,0.0019,0.0014,0.0024
"Lulu",0.5108,1356869,693089,0.5129,1463428,750592,2e-04,0.9998,4e-04,-0.0021,-0.0027,-0.0015
"Malphite",0.4892,484743,237136,0.4868,494422,240685,0.9912,0.0088,0.0176,0.0024,0.0014,0.0034
"Maokai",0.5219,223722,116761,0.518,213759,110727,0.9951,0.0049,0.0098,0.0039,0.0024,0.0054
"Pantheon",0.4867,82092,39954,0.4922,93075,45812,0.0107,0.9893,0.0214,-0.0055,-0.0079,-0.0031
"Pyke",0.4877,1280361,624432,0.4894,1292960,632775,0.0032,0.9968,0.0064,-0.0017,-0.0023,-0.0011
"Rakan",0.4866,499793,243199,0.4912,522440,256623,0,1,0,-0.0046,-0.0056,-0.0036
"Sett",0.483,375203,181223,0.4781,445344,212919,1,0,0,0.0049,0.0038,0.006
"Swain",0.5177,542409,280805,0.5161,542257,279859,0.9522,0.0478,0.0956,0.0016,6e-04,0.0026
"Taliyah",0.5013,10136,5081,0.489,11081,5419,0.9626,0.0374,0.0747,0.0123,0.0054,0.0192
"Taric",0.521,358262,186655,0.5244,351097,184115,0.0021,0.9979,0.0042,-0.0034,-0.0046,-0.0022
"Vel'Koz",0.5137,378202,194282,0.51,385722,196718,0.9994,6e-04,0.0012,0.0037,0.0026,0.0048
"Yuumi",0.5007,1887977,945310,0.5024,2082229,1046112,4e-04,0.9996,7e-04,-0.0017,-0.0022,-0.0012
"Zilean",0.5156,396617,204496,0.5175,405033,209605,0.0443,0.9557,0.0887,-0.0019,-0.003,-8e-04
"Zyra",0.5179,629377,325954,0.5157,638360,329202,0.9934,0.0066,0.0132,0.0022,0.0013,0.0031
