"SupportRisk7.champName","SupportRisk7.winRate.x","SupportRisk7.gamesPlayed.x","SupportRisk7.gamesWon.x","SupportRisk7.winRate.y","SupportRisk7.gamesPlayed.y","SupportRisk7.gamesWon.y","SupportRisk7.HOlessequal","SupportRisk7.HOgreaterequal","SupportRisk7.HOequal","SupportRisk7.riskDifference","SupportRisk7.riskLower","SupportRisk7.riskUpper"
"Blitzcrank",0.5162,2265937,1169677,0.5153,2236809,1152628,0.972,0.028,0.056,9e-04,4e-04,0.0014
"Leona",0.5087,2590551,1317813,0.5077,2528984,1283965,0.9882,0.0118,0.0237,0.001,6e-04,0.0014
"Lulu",0.506,1320609,668228,0.5081,1517501,771042,2e-04,0.9998,4e-04,-0.0021,-0.0027,-0.0015
"Lux",0.4939,2384583,1177746,0.4912,2207011,1084084,1,0,0,0.0027,0.0022,0.0032
"Morgana",0.498,2464543,1227342,0.4964,2600204,1290741,0.9998,2e-04,3e-04,0.0016,0.0012,0.002
"Nami",0.5328,1591017,847694,0.5338,1583064,845040,0.0371,0.9629,0.0741,-0.001,-0.0016,-4e-04
"Nautilus",0.5016,2493536,1250758,0.4998,2430767,1214897,1,0,1e-04,0.0018,0.0013,0.0023
"Pyke",0.4902,1962830,962179,0.4875,1872679,912931,1,0,0,0.0027,0.0022,0.0032
"Rakan",0.4825,747886,360855,0.486,818958,398014,0,1,0,-0.0035,-0.0043,-0.0027
"Taliyah",0.5054,14818,7489,0.4955,14762,7315,0.9552,0.0448,0.0896,0.0099,0.0041,0.0157
"Thresh",0.4869,3315745,1614436,0.4851,3300425,1601036,1,0,0,0.0018,0.0014,0.0022
"Volibear",0.4979,102586,51078,0.4926,103335,50903,0.9919,0.0081,0.0161,0.0053,0.0031,0.0075
"Xerath",0.5126,608693,312016,0.5103,606883,309692,0.9944,0.0056,0.0112,0.0023,0.0014,0.0032
"Yuumi",0.4892,1773629,867659,0.4915,2044259,1004753,0,1,0,-0.0023,-0.0028,-0.0018
