"SupportRisk9.champName","SupportRisk9.winRate.x","SupportRisk9.gamesPlayed.x","SupportRisk9.gamesWon.x","SupportRisk9.winRate.y","SupportRisk9.gamesPlayed.y","SupportRisk9.gamesWon.y","SupportRisk9.HOlessequal","SupportRisk9.HOgreaterequal","SupportRisk9.HOequal","SupportRisk9.riskDifference","SupportRisk9.riskLower","SupportRisk9.riskUpper"
"Anivia",0.4427,42238,18699,0.4533,36677,16626,0.0014,0.9986,0.0028,-0.0106,-0.0141,-0.0071
"Galio",0.5083,300207,152595,0.5124,268649,137656,0.001,0.999,0.002,-0.0041,-0.0054,-0.0028
"Lulu",0.5103,1637432,835582,0.509,1528882,778201,0.9896,0.0104,0.0207,0.0013,7e-04,0.0019
"Morgana",0.4954,2452065,1214753,0.494,2068456,1021817,0.9985,0.0015,0.003,0.0014,9e-04,0.0019
"Pantheon",0.4854,101069,49059,0.4904,116653,57207,0.0099,0.9901,0.0199,-0.005,-0.0071,-0.0029
"Pyke",0.4887,1824141,891458,0.4896,1571696,769502,0.0491,0.9509,0.0982,-9e-04,-0.0014,-4e-04
"Sona",0.5245,771426,404613,0.5217,668468,348740,0.9996,4e-04,8e-04,0.0028,0.002,0.0036
"Swain",0.5225,734472,383762,0.5187,658496,341562,1,0,0,0.0038,0.003,0.0046
"Vel'Koz",0.5158,527401,272033,0.5141,446413,229501,0.9527,0.0473,0.0946,0.0017,7e-04,0.0027
"Xerath",0.511,590009,301495,0.5091,500183,254643,0.9761,0.0239,0.0479,0.0019,9e-04,0.0029
"Zilean",0.5173,583132,301654,0.5148,508295,261670,0.9954,0.0046,0.0091,0.0025,0.0015,0.0035
"Zyra",0.5207,894626,465832,0.5184,760764,394380,0.9984,0.0016,0.0032,0.0023,0.0015,0.0031
