"SupportRisk5.champName","SupportRisk5.winRate.x","SupportRisk5.gamesPlayed.x","SupportRisk5.gamesWon.x","SupportRisk5.winRate.y","SupportRisk5.gamesPlayed.y","SupportRisk5.gamesWon.y","SupportRisk5.HOlessequal","SupportRisk5.HOgreaterequal","SupportRisk5.HOequal","SupportRisk5.riskDifference","SupportRisk5.riskLower","SupportRisk5.riskUpper"
"Braum",0.4851,709142,344005,0.4833,791699,382628,0.9862,0.0138,0.0276,0.0018,0.001,0.0026
"Ivern",0.4268,9437,4028,0.4428,9103,4031,0.0141,0.9859,0.0281,-0.016,-0.0233,-0.0087
"Lux",0.4934,2010087,991777,0.4952,2325293,1151485,1e-04,0.9999,2e-04,-0.0018,-0.0023,-0.0013
"Malphite",0.4901,438733,215023,0.4921,499001,245558,0.0267,0.9733,0.0533,-0.002,-0.003,-0.001
"Nami",0.5309,1423575,755776,0.5323,1531746,815348,0.008,0.992,0.016,-0.0014,-0.002,-8e-04
"Nautilus",0.5029,2348031,1180825,0.5018,2432434,1220595,0.9919,0.0081,0.0162,0.0011,6e-04,0.0016
"Rakan",0.487,690141,336099,0.4832,731664,353540,1,0,0,0.0038,0.003,0.0046
"Swain",0.5206,692842,360694,0.523,709125,370872,0.0022,0.9978,0.0045,-0.0024,-0.0032,-0.0016
"Vel'Koz",0.511,480541,245556,0.5162,517499,267133,0,1,0,-0.0052,-0.0062,-0.0042
"Zyra",0.5154,697957,359727,0.5176,754240,390395,0.004,0.996,0.008,-0.0022,-0.003,-0.0014
