"SupportRisk6.champName","SupportRisk6.winRate.x","SupportRisk6.gamesPlayed.x","SupportRisk6.gamesWon.x","SupportRisk6.winRate.y","SupportRisk6.gamesPlayed.y","SupportRisk6.gamesWon.y","SupportRisk6.HOlessequal","SupportRisk6.HOgreaterequal","SupportRisk6.HOequal","SupportRisk6.riskDifference","SupportRisk6.riskLower","SupportRisk6.riskUpper"
"Bard",0.5113,642562,328542,0.5135,697613,358224,0.0055,0.9945,0.0109,-0.0022,-0.0031,-0.0013
"Blitzcrank",0.5149,2260014,1163681,0.5162,2265937,1169677,0.0028,0.9972,0.0056,-0.0013,-0.0018,-8e-04
"Karma",0.4968,760254,377694,0.4947,776676,384222,0.9954,0.0046,0.0093,0.0021,0.0013,0.0029
"Lulu",0.5073,1200541,609034,0.506,1320609,668228,0.9804,0.0196,0.0392,0.0013,7e-04,0.0019
"Lux",0.4952,2325293,1151485,0.4939,2384583,1177746,0.9976,0.0024,0.0048,0.0013,8e-04,0.0018
"Pyke",0.4875,1935399,943507,0.4902,1962830,962179,0,1,0,-0.0027,-0.0032,-0.0022
"Sett",0.5006,246157,123226,0.4975,391535,194789,0.992,0.008,0.016,0.0031,0.0018,0.0044
"Taric",0.5282,543882,287278,0.526,627480,330054,0.9913,0.0087,0.0174,0.0022,0.0013,0.0031
"Yuumi",0.4902,1729966,848029,0.4892,1773629,867659,0.9694,0.0306,0.0612,0.001,5e-04,0.0015
"Zilean",0.5195,552864,287213,0.5169,589435,304679,0.9973,0.0027,0.0054,0.0026,0.0017,0.0035
