"SupportRisk12.champName","SupportRisk12.winRate.x","SupportRisk12.gamesPlayed.x","SupportRisk12.gamesWon.x","SupportRisk12.winRate.y","SupportRisk12.gamesPlayed.y","SupportRisk12.gamesWon.y","SupportRisk12.HOlessequal","SupportRisk12.HOgreaterequal","SupportRisk12.HOequal","SupportRisk12.riskDifference","SupportRisk12.riskLower","SupportRisk12.riskUpper"
"Anivia",0.4441,30591,13585,0.4528,31481,14255,0.0144,0.9856,0.0288,-0.0087,-0.0127,-0.0047
"Braum",0.4879,496044,242020,0.4861,505004,245482,0.9643,0.0357,0.0714,0.0018,8e-04,0.0028
"Galio",0.5097,216581,110391,0.5143,253227,130235,8e-04,0.9992,0.0017,-0.0046,-0.0061,-0.0031
"Karma",0.4961,826343,409949,0.4998,999188,499394,0,1,0,-0.0037,-0.0044,-0.003
"Leona",0.5071,1627771,825443,0.5085,1634095,830937,0.0057,0.9943,0.0115,-0.0014,-0.002,-8e-04
"Lulu",0.5129,1463428,750592,0.5144,1592030,818940,0.0044,0.9956,0.0088,-0.0015,-0.0021,-9e-04
"Lux",0.5005,1676998,839337,0.5041,1759432,886930,0,1,0,-0.0036,-0.0041,-0.0031
"Malphite",0.4868,494422,240685,0.4885,495466,242035,0.0454,0.9546,0.0909,-0.0017,-0.0027,-7e-04
"Maokai",0.518,213759,110727,0.5224,213634,111602,0.002,0.998,0.004,-0.0044,-0.0059,-0.0029
"Morgana",0.4912,1659396,815095,0.4946,1684408,833108,0,1,0,-0.0034,-0.0039,-0.0029
"Nami",0.5175,883069,456988,0.5154,844992,435509,0.9971,0.0029,0.0058,0.0021,0.0013,0.0029
"Pantheon",0.4922,93075,45812,0.4956,161256,79918,0.0497,0.9503,0.0993,-0.0034,-0.0055,-0.0013
"Pyke",0.4894,1292960,632775,0.4924,1410782,694669,0,1,0,-0.003,-0.0036,-0.0024
"Shaco",0.5211,170852,89031,0.5246,183811,96427,0.0186,0.9814,0.0371,-0.0035,-0.0052,-0.0018
"Sona",0.5213,556440,290072,0.525,578750,303844,0,1,1e-04,-0.0037,-0.0046,-0.0028
"Soraka",0.5147,1075667,553646,0.5182,1099262,569638,0,1,0,-0.0035,-0.0042,-0.0028
"Swain",0.5161,542257,279859,0.5219,565485,295127,0,1,0,-0.0058,-0.0067,-0.0049
"Taric",0.5244,351097,184115,0.5224,329994,172389,0.9506,0.0494,0.0988,0.002,8e-04,0.0032
"Thresh",0.4863,2381803,1158271,0.4876,2386919,1163862,0.0023,0.9977,0.0045,-0.0013,-0.0018,-8e-04
"Vel'Koz",0.51,385722,196718,0.5157,411625,212275,0,1,0,-0.0057,-0.0068,-0.0046
"Xerath",0.5038,391541,197258,0.5075,425544,215964,4e-04,0.9996,8e-04,-0.0037,-0.0048,-0.0026
"Zyra",0.5157,638360,329202,0.518,657587,340630,0.0044,0.9956,0.0088,-0.0023,-0.0032,-0.0014
