"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Galio",0.488,289688,141368,0.4935,386025,190503,0,-0.0084,-0.0032,0
"Aatrox",0.484,99370,48095,0.4871,130211,63426,0.0074,0.0014,0.0091,1e-04
"Ahri",0.5149,1302158,670481,0.5163,1406992,726430,0,-0.0253,-0.0208,0
"Anivia",0.5167,257417,133007,0.5183,291674,151175,0,-0.0272,-0.0221,0
"Aurelion Sol",0.523,127357,66608,0.5224,143148,74781,0,-0.0338,-0.0264,0
"Brand",0.497,171152,85063,0.4981,183121,91213,0.0026,-0.0082,-0.0017,0.0012
"Camille",0.5118,54865,28080,0.5101,64660,32983,0,-0.0218,-0.0108,0
"Cassiopeia",0.5106,577975,295114,0.5112,684853,350097,0,-0.0186,-0.0142,0
"Cho'Gath",0.5119,140822,72087,0.511,168036,85866,0,-0.0202,-0.0134,0
"Fizz",0.525,1359444,713708,0.5272,1498431,789973,0,-0.0353,-0.0308,0
"Gangplank",0.4739,45631,21625,0.4723,58901,27819,0,0.0151,0.0265,0
"Heimerdinger",0.518,152582,79037,0.5201,161360,83923,0,-0.0305,-0.0236,0
"Irelia",0.4523,570521,258047,0.4548,664663,302289,0,0.0368,0.0412,0
"Jayce",0.4767,78976,37648,0.4799,82163,39430,0,0.0084,0.0181,0
"Karthus",0.4792,44095,21130,0.4783,48038,22977,0,0.0111,0.0237,0
"Kassadin",0.4994,784924,391991,0.5042,845606,426355,0,-0.0126,-0.0082,0
"Katarina",0.5061,1276628,646101,0.5078,1443286,732901,0,-0.0175,-0.013,0
"Kayle",0.514,55607,28582,0.5149,66252,34113,0,-0.0267,-0.0159,0
"Kennen",0.5167,53378,27580,0.5181,59154,30648,0,-0.0295,-0.0181,0
"Kled",0.5426,48358,26239,0.5472,53820,29450,0,-0.0588,-0.0469,0
"LeBlanc",0.4772,963175,459627,0.4782,1230953,588642,0,0.0129,0.0174,0
"Lissandra",0.4859,245564,119320,0.4873,259959,126678,0,0.0036,0.0091,0
"Lucian",0.4756,249059,118452,0.4726,298471,141057,0,0.0179,0.023,0
"Lux",0.5113,874788,447279,0.5129,923434,473629,0,-0.0205,-0.016,0
"Malzahar",0.521,661079,344422,0.5198,683937,355510,0,-0.0278,-0.0234,0
"Mordekaiser",0.5218,218313,113916,0.5261,260795,137204,0,-0.0357,-0.0302,0
"Morgana",0.521,155286,80904,0.5197,181324,94234,0,-0.0282,-0.0217,0
"Neeko",0.4972,297321,147828,0.4982,300003,149461,6e-04,-0.007,-0.0019,1e-04
"Nocturne",0.5259,193049,101524,0.5301,197113,104490,0,-0.0396,-0.0334,0
"Orianna",0.4906,702457,344625,0.4891,763594,373474,1e-04,0.0022,0.0067,0
"Pantheon",0.4964,194479,96539,0.4963,324559,161079,0.0035,-0.0061,-0.0012,0.0186
"Quinn",0.5167,35086,18129,0.5213,39319,20497,0,-0.0358,-0.0219,0
"Renekton",0.5116,130333,66678,0.5139,149064,76604,0,-0.0233,-0.0161,0
"Riven",0.4895,69879,34206,0.4923,71068,34987,0.102,-9e-04,0.0095,0.5578
"Ryze",0.4558,622401,283690,0.4577,718847,329016,0,0.0336,0.0381,0
"Swain",0.5357,139015,74470,0.5368,148542,79737,0,-0.0474,-0.0403,0
"Sylas",0.4858,884373,429628,0.4871,1101232,536410,0,0.0049,0.0093,0
"Syndra",0.4847,654940,317449,0.486,779182,378682,0,0.0058,0.0103,0
"Taliyah",0.5007,57673,28877,0.5033,64795,32611,0.002,-0.014,-0.0032,0
"Talon",0.4911,989975,486177,0.4932,1145924,565170,0.5163,-0.0015,0.003,0.748
"Taric",0.6387,117258,74893,0.6338,67274,42638,0,-0.1434,-0.1329,0
"Twisted Fate",0.4919,494457,243223,0.4913,507966,249564,0.0566,-1e-04,0.0044,0.0394
"Veigar",0.5101,867265,442392,0.5084,930830,473234,0,-0.018,-0.0136,0
"Vel'Koz",0.5268,300374,158237,0.5236,408739,214016,0,-0.0325,-0.0281,0
"Vladimir",0.5016,793027,397782,0.5034,951188,478828,0,-0.0123,-0.0079,0
"Wukong",0.55,81328,44730,0.544,124620,67793,0,-0.0549,-0.047,0
"Xerath",0.5032,426881,214807,0.5024,457079,229636,0,-0.0116,-0.0072,0
"Yasuo",0.4984,2338073,1165296,0.5041,2549903,1285406,0,-0.012,-0.0075,0
"Zed",0.4937,1685549,832156,0.4942,1846183,912384,0.387,-0.0032,0.0012,0.4282
"Zilean",0.5357,77074,41289,0.5336,85216,45471,0,-0.0446,-0.0351,0
"Zoe",0.4845,494483,239577,0.4812,642591,309215,0,0.0101,0.0146,0
