"TopRisk9.champName","TopRisk9.winRate.x","TopRisk9.gamesPlayed.x","TopRisk9.gamesWon.x","TopRisk9.winRate.y","TopRisk9.gamesPlayed.y","TopRisk9.gamesWon.y","TopRisk9.HOlessequal","TopRisk9.HOgreaterequal","TopRisk9.HOequal","TopRisk9.riskDifference","TopRisk9.riskLower","TopRisk9.riskUpper"
"Akali",0.4522,395614,178897,0.4543,350747,159344,0.0346,0.9654,0.0692,-0.0021,-0.0033,-9e-04
"Camille",0.4862,427839,208015,0.4889,449721,219869,0.0057,0.9943,0.0114,-0.0027,-0.0038,-0.0016
"Darius",0.4982,2129628,1060981,0.4998,1854183,926721,7e-04,0.9993,0.0014,-0.0016,-0.0021,-0.0011
"Fiora",0.507,1380063,699692,0.5059,1332491,674107,0.965,0.035,0.07,0.0011,5e-04,0.0017
"Gangplank",0.4652,521951,242812,0.4691,461243,216369,1e-04,0.9999,1e-04,-0.0039,-0.0049,-0.0029
"Garen",0.5153,2611427,1345668,0.5162,2302052,1188319,0.0232,0.9768,0.0464,-9e-04,-0.0014,-4e-04
"Jax",0.4951,1289572,638467,0.499,1181809,589723,0,1,0,-0.0039,-0.0045,-0.0033
"Kennen",0.4791,227702,109092,0.4824,198199,95611,0.0158,0.9842,0.0316,-0.0033,-0.0048,-0.0018
"Nasus",0.5257,1724815,906735,0.523,1437636,751884,1,0,0,0.0027,0.0021,0.0033
"Olaf",0.4909,193732,95103,0.4946,197649,97757,0.0103,0.9897,0.0206,-0.0037,-0.0053,-0.0021
"Rengar",0.5086,226781,115341,0.5142,187090,96202,2e-04,0.9998,3e-04,-0.0056,-0.0072,-0.004
"Riven",0.4833,622631,300918,0.4863,579818,281965,5e-04,0.9995,0.001,-0.003,-0.0039,-0.0021
"Sett",0.4972,1566813,779019,0.4987,1381927,689167,0.0051,0.9949,0.0101,-0.0015,-0.0021,-9e-04
"Singed",0.5221,389352,203281,0.5281,353341,186599,0,1,0,-0.006,-0.0072,-0.0048
"Tahm Kench",0.4977,110310,54901,0.4917,106020,52130,0.9974,0.0026,0.0053,0.006,0.0038,0.0082
"Tryndamere",0.497,1025784,509815,0.4994,911407,455157,4e-04,0.9996,9e-04,-0.0024,-0.0031,-0.0017
"Urgot",0.5331,1069759,570289,0.5312,1015618,539496,0.997,0.003,0.006,0.0019,0.0012,0.0026
"Yorick",0.5272,599411,316009,0.5256,535579,281500,0.9558,0.0442,0.0884,0.0016,7e-04,0.0025
