"TopRisk12.champName","TopRisk12.winRate.x","TopRisk12.gamesPlayed.x","TopRisk12.gamesWon.x","TopRisk12.winRate.y","TopRisk12.gamesPlayed.y","TopRisk12.gamesWon.y","TopRisk12.HOlessequal","TopRisk12.HOgreaterequal","TopRisk12.HOequal","TopRisk12.riskDifference","TopRisk12.riskLower","TopRisk12.riskUpper"
"Aatrox",0.4803,852118,409272,0.4781,848383,405612,0.998,0.002,0.0041,0.0022,0.0014,0.003
"Darius",0.5017,1714049,859938,0.4956,1619122,802437,1,0,0,0.0061,0.0056,0.0066
"Fiora",0.5051,976425,493192,0.5034,939809,473100,0.9907,0.0093,0.0187,0.0017,0.001,0.0024
"Gangplank",0.4696,375601,176382,0.472,355268,167686,0.02,0.98,0.04,-0.0024,-0.0036,-0.0012
"Garen",0.5202,2069711,1076664,0.5225,2101412,1097988,0,1,0,-0.0023,-0.0028,-0.0018
"Illaoi",0.5074,602429,305672,0.5016,618595,310287,1,0,0,0.0058,0.0049,0.0067
"Kayle",0.5034,410816,206805,0.5064,455895,230865,0.0026,0.9974,0.0053,-0.003,-0.0041,-0.0019
"Kled",0.5118,304223,155701,0.5093,300929,153263,0.9741,0.0259,0.0518,0.0025,0.0012,0.0038
"Maokai",0.5164,489012,252526,0.5214,460400,240053,0,1,0,-0.005,-0.006,-0.004
"Mordekaiser",0.4996,1466441,732634,0.4953,1517234,751486,1,0,0,0.0043,0.0037,0.0049
"Nasus",0.5183,1072852,556059,0.5204,1028402,535180,0.0012,0.9988,0.0023,-0.0021,-0.0028,-0.0014
"Poppy",0.4918,375844,184840,0.4958,354389,175706,3e-04,0.9997,6e-04,-0.004,-0.0052,-0.0028
"Renekton",0.484,1225031,592915,0.4852,1195708,580158,0.0309,0.9691,0.0617,-0.0012,-0.0018,-6e-04
"Riven",0.4803,500899,240582,0.4773,483273,230666,0.9986,0.0014,0.0029,0.003,0.002,0.004
"Sett",0.4988,1209133,603116,0.4955,1241582,615204,1,0,0,0.0033,0.0027,0.0039
"Shen",0.5101,768790,392160,0.5156,848544,437509,0,1,0,-0.0055,-0.0063,-0.0047
"Singed",0.5294,338966,179449,0.5216,319308,166551,1,0,0,0.0078,0.0066,0.009
"Sion",0.5111,268974,137473,0.5155,274203,141352,6e-04,0.9994,0.0012,-0.0044,-0.0058,-0.003
"Skarner",0.505,15081,7616,0.4964,23460,11646,0.9501,0.0499,0.0999,0.0086,0.0034,0.0138
"Teemo",0.5145,986970,507796,0.5161,1006960,519692,0.0119,0.9881,0.0238,-0.0016,-0.0023,-9e-04
"Tryndamere",0.4984,776178,386847,0.5028,732673,368388,0,1,0,-0.0044,-0.0052,-0.0036
"Vladimir",0.4783,407313,194818,0.4816,400749,193001,0.0015,0.9985,0.003,-0.0033,-0.0044,-0.0022
