"TopRisk3.champName","TopRisk3.winRate.x","TopRisk3.gamesPlayed.x","TopRisk3.gamesWon.x","TopRisk3.winRate.y","TopRisk3.gamesPlayed.y","TopRisk3.gamesWon.y","TopRisk3.HOlessequal","TopRisk3.HOgreaterequal","TopRisk3.HOequal","TopRisk3.riskDifference","TopRisk3.riskLower","TopRisk3.riskUpper"
"Aatrox",0.4625,1110211,513473,0.4638,1007305,467188,0.0291,0.9709,0.0582,-0.0013,-0.002,-6e-04
"Camille",0.4862,438985,213435,0.4814,353789,170314,1,0,0,0.0048,0.0037,0.0059
"Cassiopeia",0.511,82514,42165,0.5167,67802,35033,0.014,0.986,0.028,-0.0057,-0.0083,-0.0031
"Cho'Gath",0.49,383921,188121,0.4877,347834,169639,0.9752,0.0248,0.0495,0.0023,0.0011,0.0035
"Darius",0.504,2062355,1039427,0.5065,1979041,1002384,0,1,0,-0.0025,-0.003,-0.002
"Dr. Mundo",0.5173,435567,225319,0.5126,420871,215738,1,0,0,0.0047,0.0036,0.0058
"Fiora",0.4976,1139018,566775,0.4951,945576,468155,0.9998,2e-04,3e-04,0.0025,0.0018,0.0032
"Heimerdinger",0.5044,147307,74302,0.4933,137471,67814,1,0,0,0.0111,0.0092,0.013
"Illaoi",0.5069,767142,388864,0.5016,718556,360428,1,0,0,0.0053,0.0045,0.0061
"Irelia",0.4529,715211,323919,0.4437,654697,290489,1,0,0,0.0092,0.0083,0.0101
"Jax",0.4962,885597,439433,0.4914,943805,463786,1,0,0,0.0048,0.0041,0.0055
"Karma",0.4921,64337,31660,0.4858,63731,30961,0.9878,0.0122,0.0244,0.0063,0.0035,0.0091
"Kayle",0.5154,545050,280919,0.5134,503242,258364,0.9797,0.0203,0.0405,0.002,0.001,0.003
"Kled",0.5161,461039,237942,0.5131,377865,193883,0.9969,0.0031,0.0063,0.003,0.0019,0.0041
"Lissandra",0.4866,26407,12850,0.4744,22649,10745,0.9965,0.0035,0.007,0.0122,0.0077,0.0167
"Lucian",0.4674,258709,120921,0.464,278247,129107,0.9937,0.0063,0.0126,0.0034,0.002,0.0048
"Maokai",0.5118,181314,92797,0.5247,410532,215406,0,1,0,-0.0129,-0.0143,-0.0115
"Mordekaiser",0.5,1917384,958692,0.5014,1787974,896490,0.0035,0.9965,0.0071,-0.0014,-0.0019,-9e-04
"Nasus",0.5219,1067127,556934,0.5144,1124193,578285,1,0,0,0.0075,0.0068,0.0082
"Olaf",0.4827,194786,94023,0.4792,171010,81948,0.9827,0.0173,0.0346,0.0035,0.0018,0.0052
"Ornn",0.5116,1526021,780712,0.5251,2021037,1061247,0,1,0,-0.0135,-0.014,-0.013
"Poppy",0.4895,267919,131146,0.4936,313246,154618,9e-04,0.9991,0.0018,-0.0041,-0.0054,-0.0028
"Quinn",0.5067,372681,188837,0.5042,305127,153845,0.9797,0.0203,0.0406,0.0025,0.0013,0.0037
"Renekton",0.4831,1192790,576237,0.478,1132321,541249,1,0,0,0.0051,0.0044,0.0058
"Riven",0.4826,692982,334433,0.4741,543843,257836,1,0,0,0.0085,0.0076,0.0094
"Shen",0.5105,744821,380231,0.5188,732746,380149,0,1,0,-0.0083,-0.0091,-0.0075
"Sion",0.507,210580,106764,0.5191,246680,128052,0,1,0,-0.0121,-0.0136,-0.0106
"Tahm Kench",0.4804,76056,36537,0.4875,77941,37996,0.0027,0.9973,0.0053,-0.0071,-0.0096,-0.0046
"Teemo",0.5143,1091734,561479,0.5128,1012435,519177,0.9852,0.0148,0.0296,0.0015,8e-04,0.0022
"Trundle",0.4987,168613,84087,0.4914,143672,70600,1,0,0,0.0073,0.0055,0.0091
"Tryndamere",0.4979,859695,428042,0.4929,848506,418229,1,0,0,0.005,0.0042,0.0058
"Urgot",0.5146,496252,255371,0.5122,445534,228203,0.99,0.01,0.0201,0.0024,0.0014,0.0034
"Vayne",0.4884,478054,233482,0.4866,446702,217365,0.9583,0.0417,0.0833,0.0018,8e-04,0.0028
"Volibear",0.5171,195685,101189,0.5213,264022,137635,0.0024,0.9976,0.0048,-0.0042,-0.0057,-0.0027
"Wukong",0.5088,75939,38638,0.4906,68468,33590,1,0,0,0.0182,0.0156,0.0208
"Yasuo",0.4851,605511,293733,0.4826,535763,258559,0.9962,0.0038,0.0077,0.0025,0.0016,0.0034
"Yorick",0.5323,497328,264728,0.5269,449145,236655,1,0,0,0.0054,0.0044,0.0064
