"TopRisk8.champName","TopRisk8.winRate.x","TopRisk8.gamesPlayed.x","TopRisk8.gamesWon.x","TopRisk8.winRate.y","TopRisk8.gamesPlayed.y","TopRisk8.gamesWon.y","TopRisk8.HOlessequal","TopRisk8.HOgreaterequal","TopRisk8.HOequal","TopRisk8.riskDifference","TopRisk8.riskLower","TopRisk8.riskUpper"
"Aatrox",0.4798,1128337,541376,0.4826,1079888,521154,0,1,0,-0.0028,-0.0035,-0.0021
"Akali",0.4477,385791,172719,0.4522,395614,178897,0,1,1e-04,-0.0045,-0.0056,-0.0034
"Camille",0.4837,420788,203535,0.4862,427839,208015,0.0106,0.9894,0.0212,-0.0025,-0.0036,-0.0014
"Cho'Gath",0.48,451934,216928,0.4844,508071,246110,0,1,0,-0.0044,-0.0054,-0.0034
"Fiora",0.5042,1408346,710088,0.507,1380063,699692,0,1,0,-0.0028,-0.0034,-0.0022
"Gangplank",0.4679,468701,219305,0.4652,521951,242812,0.9964,0.0036,0.0072,0.0027,0.0017,0.0037
"Garen",0.5165,2754207,1422548,0.5153,2611427,1345668,0.9973,0.0027,0.0054,0.0012,8e-04,0.0016
"Illaoi",0.5131,894013,458718,0.5117,826195,422764,0.9668,0.0332,0.0665,0.0014,6e-04,0.0022
"Jayce",0.4703,371616,174771,0.4735,383590,181630,0.0027,0.9973,0.0053,-0.0032,-0.0043,-0.0021
"Malphite",0.5118,1210424,619495,0.5134,1137022,583747,0.0071,0.9929,0.0143,-0.0016,-0.0023,-9e-04
"Maokai",0.5259,1195865,628905,0.5279,1117926,590153,0.0012,0.9988,0.0023,-0.002,-0.0027,-0.0013
"Mordekaiser",0.501,2124786,1064518,0.499,1969766,982913,1,0,1e-04,0.002,0.0015,0.0025
"Nasus",0.5272,1815032,956885,0.5257,1724815,906735,0.9976,0.0024,0.0047,0.0015,0.001,0.002
"Ornn",0.4959,1147513,569052,0.4972,1095735,544799,0.0259,0.9741,0.0517,-0.0013,-0.002,-6e-04
"Renekton",0.487,1886726,918836,0.486,1718178,835035,0.9711,0.0289,0.0578,0.001,5e-04,0.0015
"Rengar",0.5128,213676,109573,0.5086,226781,115341,0.9973,0.0027,0.0053,0.0042,0.0027,0.0057
"Riven",0.4798,697460,334641,0.4833,622631,300918,0,1,1e-04,-0.0035,-0.0044,-0.0026
"Singed",0.5245,388399,203715,0.5221,389352,203281,0.9829,0.0171,0.0342,0.0024,0.0013,0.0035
"Tahm Kench",0.4936,113897,56220,0.4977,110310,54901,0.0263,0.9737,0.0526,-0.0041,-0.0062,-0.002
"Volibear",0.523,422137,220778,0.5212,421322,219593,0.9511,0.0489,0.0978,0.0018,7e-04,0.0029
