"TopRisk5.champName","TopRisk5.winRate.x","TopRisk5.gamesPlayed.x","TopRisk5.gamesWon.x","TopRisk5.winRate.y","TopRisk5.gamesPlayed.y","TopRisk5.gamesWon.y","TopRisk5.HOlessequal","TopRisk5.HOgreaterequal","TopRisk5.HOequal","TopRisk5.riskDifference","TopRisk5.riskLower","TopRisk5.riskUpper"
"Aatrox",0.4642,1084698,503517,0.4766,1043733,497443,0,1,0,-0.0124,-0.0131,-0.0117
"Akali",0.4432,284485,126084,0.4462,295480,131843,0.0108,0.9892,0.0216,-0.003,-0.0043,-0.0017
"Camille",0.4886,371776,181650,0.4825,422810,204006,1,0,0,0.0061,0.005,0.0072
"Cassiopeia",0.5073,72704,36883,0.5122,69552,35625,0.0322,0.9678,0.0644,-0.0049,-0.0076,-0.0022
"Cho'Gath",0.4843,377950,183041,0.4821,404177,194854,0.9741,0.0259,0.0518,0.0022,0.0011,0.0033
"Dr. Mundo",0.5112,477018,243852,0.5159,520793,268677,0,1,0,-0.0047,-0.0057,-0.0037
"Heimerdinger",0.4933,154232,76083,0.5005,146383,73265,0,1,1e-04,-0.0072,-0.009,-0.0054
"Illaoi",0.5072,747269,379015,0.5129,793455,406963,0,1,0,-0.0057,-0.0065,-0.0049
"Irelia",0.4591,813000,373248,0.4559,991031,451811,1,0,0,0.0032,0.0025,0.0039
"Jax",0.4919,1184177,582497,0.4938,1208583,596798,0.0016,0.9984,0.0033,-0.0019,-0.0025,-0.0013
"Jayce",0.4737,186907,88538,0.465,212361,98748,1,0,0,0.0087,0.0071,0.0103
"Kalista",0.4418,180993,79963,0.4489,142728,64071,0,1,1e-04,-0.0071,-0.0089,-0.0053
"Kennen",0.4796,254771,122188,0.482,255933,123360,0.0429,0.9571,0.0859,-0.0024,-0.0038,-0.001
"Kled",0.5266,470438,247733,0.5206,499856,260225,1,0,0,0.006,0.005,0.007
"Malphite",0.5093,1007627,513184,0.5113,1066023,545058,0.002,0.998,0.004,-0.002,-0.0027,-0.0013
"Maokai",0.5267,564364,297251,0.5304,716330,379941,0,1,0,-0.0037,-0.0046,-0.0028
"Mordekaiser",0.4999,1983632,991618,0.5022,2142364,1075895,0,1,0,-0.0023,-0.0028,-0.0018
"Nasus",0.5034,1201570,604870,0.5077,1422818,722365,0,1,0,-0.0043,-0.0049,-0.0037
"Pantheon",0.4618,331186,152942,0.4579,237198,108613,0.9982,0.0018,0.0036,0.0039,0.0026,0.0052
"Poppy",0.4956,366431,181603,0.4924,392110,193075,0.9973,0.0027,0.0054,0.0032,0.0021,0.0043
"Quinn",0.5026,332215,166971,0.4975,331614,164978,1,0,0,0.0051,0.0039,0.0063
"Riven",0.4737,598330,283429,0.4769,625266,298189,2e-04,0.9998,4e-04,-0.0032,-0.0041,-0.0023
"Rumble",0.4851,191087,92696,0.4906,201586,98898,3e-04,0.9997,6e-04,-0.0055,-0.0071,-0.0039
"Singed",0.5169,377490,195125,0.5227,392802,205318,0,1,0,-0.0058,-0.0069,-0.0047
"Sylas",0.474,433298,205383,0.4703,411954,193742,0.9997,3e-04,7e-04,0.0037,0.0026,0.0048
"Tahm Kench",0.4879,97823,47728,0.4827,108684,52462,0.9909,0.0091,0.0182,0.0052,0.003,0.0074
"Teemo",0.5134,1180604,606122,0.5174,1255938,649822,0,1,0,-0.004,-0.0046,-0.0034
"Vladimir",0.474,627909,297629,0.4776,602941,287965,0,1,1e-04,-0.0036,-0.0045,-0.0027
"Volibear",0.5266,344440,181382,0.5245,376624,197539,0.9628,0.0372,0.0744,0.0021,9e-04,0.0033
"Yasuo",0.4795,573311,274903,0.4824,592151,285654,9e-04,0.9991,0.0017,-0.0029,-0.0038,-0.002
