"TopRisk11.champName","TopRisk11.winRate.x","TopRisk11.gamesPlayed.x","TopRisk11.gamesWon.x","TopRisk11.winRate.y","TopRisk11.gamesPlayed.y","TopRisk11.gamesWon.y","TopRisk11.HOlessequal","TopRisk11.HOgreaterequal","TopRisk11.HOequal","TopRisk11.riskDifference","TopRisk11.riskLower","TopRisk11.riskUpper"
"Aatrox",0.4837,828184,400593,0.4803,852118,409272,1,0,0,0.0034,0.0026,0.0042
"Camille",0.4966,399084,198185,0.4928,458045,225725,0.9998,2e-04,5e-04,0.0038,0.0027,0.0049
"Darius",0.5027,1556454,782429,0.5017,1714049,859938,0.9646,0.0354,0.0709,0.001,4e-04,0.0016
"Dr. Mundo",0.5144,374516,192651,0.509,386796,196879,1,0,0,0.0054,0.0043,0.0065
"Fiora",0.5064,1007403,510149,0.5051,976425,493192,0.9665,0.0335,0.067,0.0013,6e-04,0.002
"Garen",0.5186,1888084,979160,0.5202,2069711,1076664,7e-04,0.9993,0.0015,-0.0016,-0.0021,-0.0011
"Gnar",0.4915,428331,210525,0.4883,434662,212245,0.9985,0.0015,0.0029,0.0032,0.0021,0.0043
"Illaoi",0.5111,590020,301559,0.5074,602429,305672,1,0,1e-04,0.0037,0.0028,0.0046
"Irelia",0.4659,790673,368375,0.4626,836979,387186,1,0,0,0.0033,0.0025,0.0041
"Jax",0.5016,1011626,507432,0.5004,1060442,530645,0.958,0.042,0.084,0.0012,5e-04,0.0019
"Kled",0.5179,309696,160392,0.5118,304223,155701,1,0,0,0.0061,0.0048,0.0074
"Malphite",0.5165,808020,417342,0.5144,815708,419600,0.9963,0.0037,0.0074,0.0021,0.0013,0.0029
"Maokai",0.5194,547190,284210,0.5164,489012,252526,0.9989,0.0011,0.0023,0.003,0.002,0.004
"Mordekaiser",0.5019,1402746,704038,0.4996,1466441,732634,1,0,1e-04,0.0023,0.0017,0.0029
"Nasus",0.5223,1107152,578265,0.5183,1072852,556059,1,0,0,0.004,0.0033,0.0047
"Olaf",0.4985,166228,82865,0.4886,169313,82726,1,0,0,0.0099,0.0082,0.0116
"Ornn",0.5044,758634,382655,0.5007,757160,379110,1,0,0,0.0037,0.0029,0.0045
"Poppy",0.4938,362689,179096,0.4918,375844,184840,0.9572,0.0428,0.0856,0.002,8e-04,0.0032
"Renekton",0.4867,1227114,597236,0.484,1225031,592915,1,0,0,0.0027,0.0021,0.0033
"Rengar",0.5172,150998,78096,0.5115,153830,78684,0.9992,8e-04,0.0016,0.0057,0.0039,0.0075
"Riven",0.4883,481934,235328,0.4803,500899,240582,1,0,0,0.008,0.007,0.009
"Ryze",0.4691,126200,59200,0.4649,125087,58153,0.9825,0.0175,0.035,0.0042,0.0022,0.0062
"Sett",0.5021,1140242,572516,0.4988,1209133,603116,1,0,0,0.0033,0.0026,0.004
"Shen",0.5141,767007,394318,0.5101,768790,392160,1,0,0,0.004,0.0032,0.0048
"Shyvana",0.5205,64234,33434,0.5147,67178,34577,0.9822,0.0178,0.0356,0.0058,0.003,0.0086
"Singed",0.5341,293903,156974,0.5294,338966,179449,0.9999,1e-04,2e-04,0.0047,0.0034,0.006
"Sion",0.5172,280888,145275,0.5111,268974,137473,1,0,0,0.0061,0.0048,0.0074
"Tahm Kench",0.4971,92388,45926,0.4916,99932,49127,0.992,0.008,0.016,0.0055,0.0032,0.0078
"Tryndamere",0.4999,788257,394050,0.4984,776178,386847,0.9697,0.0303,0.0605,0.0015,7e-04,0.0023
"Urgot",0.5333,873817,466007,0.5307,887370,470927,0.9997,3e-04,5e-04,0.0026,0.0018,0.0034
"Vladimir",0.4758,391742,186391,0.4783,407313,194818,0.0127,0.9873,0.0253,-0.0025,-0.0036,-0.0014
"Wukong",0.5203,527846,274638,0.518,664588,344257,0.9937,0.0063,0.0126,0.0023,0.0014,0.0032
"Yorick",0.5254,419530,220421,0.5215,403474,210412,0.9998,2e-04,4e-04,0.0039,0.0028,0.005
