"TopRisk2.champName","TopRisk2.winRate.x","TopRisk2.gamesPlayed.x","TopRisk2.gamesWon.x","TopRisk2.winRate.y","TopRisk2.gamesPlayed.y","TopRisk2.gamesWon.y","TopRisk2.HOlessequal","TopRisk2.HOgreaterequal","TopRisk2.HOequal","TopRisk2.riskDifference","TopRisk2.riskLower","TopRisk2.riskUpper"
"Cho'Gath",0.4879,350876,171192,0.49,383921,188121,0.036,0.964,0.072,-0.0021,-0.0033,-9e-04
"Darius",0.4999,1792240,895941,0.504,2062355,1039427,0,1,0,-0.0041,-0.0046,-0.0036
"Dr. Mundo",0.5146,399499,205582,0.5173,435567,225319,0.0068,0.9932,0.0136,-0.0027,-0.0038,-0.0016
"Fiora",0.4946,1106661,547355,0.4976,1139018,566775,0,1,0,-0.003,-0.0037,-0.0023
"Gangplank",0.4773,395626,188832,0.4739,443530,210189,0.9991,9e-04,0.0019,0.0034,0.0023,0.0045
"Garen",0.5063,1726709,874233,0.5115,1895858,969731,0,1,0,-0.0052,-0.0057,-0.0047
"Heimerdinger",0.4971,135157,67187,0.5044,147307,74302,1e-04,0.9999,1e-04,-0.0073,-0.0092,-0.0054
"Irelia",0.4496,604782,271910,0.4529,715211,323919,1e-04,0.9999,1e-04,-0.0033,-0.0042,-0.0024
"Jax",0.4901,873899,428298,0.4962,885597,439433,0,1,0,-0.0061,-0.0069,-0.0053
"Kayle",0.5114,411757,210573,0.5154,545050,280919,1e-04,0.9999,1e-04,-0.004,-0.005,-0.003
"Kled",0.5138,429053,220447,0.5161,461039,237942,0.015,0.985,0.03,-0.0023,-0.0034,-0.0012
"Mordekaiser",0.497,1730620,860118,0.5,1917384,958692,0,1,0,-0.003,-0.0035,-0.0025
"Olaf",0.4782,186677,89269,0.4827,194786,94023,0.0027,0.9973,0.0054,-0.0045,-0.0061,-0.0029
"Ornn",0.5099,1204508,614179,0.5116,1526021,780712,0.0026,0.9974,0.0053,-0.0017,-0.0023,-0.0011
"Pantheon",0.4618,273900,126487,0.4643,320164,148652,0.0271,0.9729,0.0541,-0.0025,-0.0038,-0.0012
"Poppy",0.4845,255252,123670,0.4895,267919,131146,2e-04,0.9998,3e-04,-0.005,-0.0064,-0.0036
"Rengar",0.5009,249375,124912,0.5116,229742,117536,0,1,0,-0.0107,-0.0121,-0.0093
"Riven",0.4771,658683,314258,0.4826,692982,334433,0,1,0,-0.0055,-0.0064,-0.0046
"Ryze",0.4509,327425,147636,0.4543,385990,175355,0.002,0.998,0.0041,-0.0034,-0.0046,-0.0022
"Singed",0.5334,376927,201053,0.5384,471836,254037,0,1,0,-0.005,-0.0061,-0.0039
"Soraka",0.5532,421444,233143,0.5622,762656,428765,0,1,0,-0.009,-0.01,-0.008
"Sylas",0.4759,221252,105294,0.4814,251487,121066,1e-04,0.9999,2e-04,-0.0055,-0.007,-0.004
"Tryndamere",0.4933,753970,371933,0.4979,859695,428042,0,1,0,-0.0046,-0.0054,-0.0038
"Urgot",0.5101,465992,237703,0.5146,496252,255371,0,1,0,-0.0045,-0.0055,-0.0035
"Vayne",0.4848,407569,197589,0.4884,478054,233482,4e-04,0.9996,7e-04,-0.0036,-0.0047,-0.0025
"Vladimir",0.4762,606341,288740,0.479,703535,336993,7e-04,0.9993,0.0014,-0.0028,-0.0037,-0.0019
"Volibear",0.5111,221160,113035,0.5171,195685,101189,1e-04,0.9999,1e-04,-0.006,-0.0076,-0.0044
"Yasuo",0.4816,563524,271393,0.4851,605511,293733,1e-04,0.9999,2e-04,-0.0035,-0.0044,-0.0026
