"TopRisk10.champName","TopRisk10.winRate.x","TopRisk10.gamesPlayed.x","TopRisk10.gamesWon.x","TopRisk10.winRate.y","TopRisk10.gamesPlayed.y","TopRisk10.gamesWon.y","TopRisk10.HOlessequal","TopRisk10.HOgreaterequal","TopRisk10.HOequal","TopRisk10.riskDifference","TopRisk10.riskLower","TopRisk10.riskUpper"
"Camille",0.4889,449721,219869,0.4966,399084,198185,0,1,0,-0.0077,-0.0088,-0.0066
"Cho'Gath",0.4845,402182,194857,0.4876,309640,150980,0.0048,0.9952,0.0095,-0.0031,-0.0043,-0.0019
"Darius",0.4998,1854183,926721,0.5027,1556454,782429,0,1,0,-0.0029,-0.0034,-0.0024
"Garen",0.5162,2302052,1188319,0.5186,1888084,979160,0,1,0,-0.0024,-0.0029,-0.0019
"Gnar",0.4895,475253,232636,0.4915,428331,210525,0.0287,0.9713,0.0574,-0.002,-0.0031,-9e-04
"Jax",0.499,1181809,589723,0.5016,1011626,507432,1e-04,0.9999,1e-04,-0.0026,-0.0033,-0.0019
"Jayce",0.4754,352551,167603,0.4784,277056,132544,0.009,0.991,0.018,-0.003,-0.0043,-0.0017
"Malphite",0.5135,1005084,516111,0.5165,808020,417342,0,1,1e-04,-0.003,-0.0037,-0.0023
"Mordekaiser",0.4994,1705891,851922,0.5019,1402746,704038,0,1,0,-0.0025,-0.0031,-0.0019
"Olaf",0.4946,197649,97757,0.4985,166228,82865,0.0095,0.9905,0.019,-0.0039,-0.0056,-0.0022
"Ornn",0.498,972914,484511,0.5044,758634,382655,0,1,0,-0.0064,-0.0072,-0.0056
"Pantheon",0.4586,207143,94996,0.4654,132347,61594,1e-04,0.9999,1e-04,-0.0068,-0.0086,-0.005
"Quinn",0.5139,386821,198787,0.5175,340119,176012,0.0011,0.9989,0.0022,-0.0036,-0.0048,-0.0024
"Renekton",0.4857,1510972,733879,0.4867,1227114,597236,0.0499,0.9501,0.0998,-0.001,-0.0016,-4e-04
"Rengar",0.5142,187090,96202,0.5172,150998,78096,0.0415,0.9585,0.083,-0.003,-0.0047,-0.0013
"Riven",0.4863,579818,281965,0.4883,481934,235328,0.02,0.98,0.0401,-0.002,-0.003,-0.001
"Ryze",0.4641,166816,77419,0.4691,126200,59200,0.0036,0.9964,0.0072,-0.005,-0.0069,-0.0031
"Sett",0.4987,1381927,689167,0.5021,1140242,572516,0,1,0,-0.0034,-0.004,-0.0028
"Shen",0.5107,867184,442871,0.5141,767007,394318,0,1,0,-0.0034,-0.0042,-0.0026
"Shyvana",0.5155,72668,37460,0.5205,64234,33434,0.0321,0.9679,0.0642,-0.005,-0.0077,-0.0023
"Singed",0.5281,353341,186599,0.5341,293903,156974,0,1,0,-0.006,-0.0072,-0.0048
"Sion",0.5144,363867,187173,0.5172,280888,145275,0.0129,0.9871,0.0257,-0.0028,-0.0041,-0.0015
"Skarner",0.4992,16719,8346,0.5121,14392,7370,0.0116,0.9884,0.0233,-0.0129,-0.0186,-0.0072
"Sylas",0.471,350719,165189,0.4738,274479,130048,0.0139,0.9861,0.0278,-0.0028,-0.0041,-0.0015
"Tahm Kench",0.4917,106020,52130,0.4971,92388,45926,0.0082,0.9918,0.0164,-0.0054,-0.0077,-0.0031
"Trundle",0.4943,157805,78003,0.4982,121620,60591,0.0205,0.9795,0.041,-0.0039,-0.0058,-0.002
"Urgot",0.5312,1015618,539496,0.5333,873817,466007,0.002,0.998,0.0039,-0.0021,-0.0028,-0.0014
"Wukong",0.5175,530250,274404,0.5203,527846,274638,0.002,0.998,0.0039,-0.0028,-0.0038,-0.0018
"Yasuo",0.4867,429258,208920,0.4944,374365,185086,0,1,0,-0.0077,-0.0088,-0.0066
