"TopRisk4.champName","TopRisk4.winRate.x","TopRisk4.gamesPlayed.x","TopRisk4.gamesWon.x","TopRisk4.winRate.y","TopRisk4.gamesPlayed.y","TopRisk4.gamesWon.y","TopRisk4.HOlessequal","TopRisk4.HOgreaterequal","TopRisk4.HOequal","TopRisk4.riskDifference","TopRisk4.riskLower","TopRisk4.riskUpper"
"Akali",0.4353,238541,103837,0.4432,284485,126084,0,1,0,-0.0079,-0.0093,-0.0065
"Camille",0.4814,353789,170314,0.4886,371776,181650,0,1,0,-0.0072,-0.0084,-0.006
"Cassiopeia",0.5167,67802,35033,0.5073,72704,36883,0.9998,2e-04,4e-04,0.0094,0.0067,0.0121
"Cho'Gath",0.4877,347834,169639,0.4843,377950,183041,0.9981,0.0019,0.0038,0.0034,0.0022,0.0046
"Darius",0.5065,1979041,1002384,0.514,2280171,1172008,0,1,0,-0.0075,-0.008,-0.007
"Fiora",0.4951,945576,468155,0.5072,1201216,609257,0,1,0,-0.0121,-0.0128,-0.0114
"Gangplank",0.4729,372041,175938,0.4702,409358,192480,0.9915,0.0085,0.017,0.0027,0.0016,0.0038
"Illaoi",0.5016,718556,360428,0.5072,747269,379015,0,1,0,-0.0056,-0.0064,-0.0048
"Irelia",0.4437,654697,290489,0.4591,813000,373248,0,1,0,-0.0154,-0.0162,-0.0146
"Kayle",0.5134,503242,258364,0.5094,529124,269536,1,0,0,0.004,0.003,0.005
"Kennen",0.4831,243875,117816,0.4796,254771,122188,0.9933,0.0067,0.0134,0.0035,0.0021,0.0049
"Kled",0.5131,377865,193883,0.5266,470438,247733,0,1,0,-0.0135,-0.0146,-0.0124
"Malphite",0.5144,810235,416785,0.5093,1007627,513184,1,0,0,0.0051,0.0044,0.0058
"Maokai",0.5247,410532,215406,0.5267,564364,297251,0.0254,0.9746,0.0507,-0.002,-0.003,-0.001
"Mordekaiser",0.5014,1787974,896490,0.4999,1983632,991618,0.9982,0.0018,0.0036,0.0015,0.001,0.002
"Nasus",0.5144,1124193,578285,0.5034,1201570,604870,1,0,0,0.011,0.0103,0.0117
"Olaf",0.4792,171010,81948,0.4869,192951,93948,0,1,0,-0.0077,-0.0094,-0.006
"Renekton",0.478,1132321,541249,0.4872,1396627,680437,0,1,0,-0.0092,-0.0098,-0.0086
"Rumble",0.4809,234308,112679,0.4851,191087,92696,0.0032,0.9968,0.0064,-0.0042,-0.0057,-0.0027
"Ryze",0.4539,294987,133895,0.4496,292137,131345,0.9995,5e-04,9e-04,0.0043,0.003,0.0056
"Shen",0.5188,732746,380149,0.5147,924288,475731,1,0,0,0.0041,0.0033,0.0049
"Swain",0.5044,71418,36023,0.4985,71436,35611,0.9871,0.0129,0.0259,0.0059,0.0033,0.0085
"Trundle",0.4914,143672,70600,0.5034,195458,98394,0,1,0,-0.012,-0.0137,-0.0103
"Tryndamere",0.4929,848506,418229,0.4973,984316,489500,0,1,0,-0.0044,-0.0051,-0.0037
"Urgot",0.5122,445534,228203,0.5101,501172,255648,0.9794,0.0206,0.0413,0.0021,0.0011,0.0031
"Vladimir",0.4792,633871,303751,0.474,627909,297629,1,0,0,0.0052,0.0043,0.0061
"Volibear",0.5213,264022,137635,0.5266,344440,181382,0,1,0,-0.0053,-0.0066,-0.004
"Wukong",0.4906,68468,33590,0.4981,74229,36973,0.0023,0.9977,0.0046,-0.0075,-0.0101,-0.0049
"Yasuo",0.4826,535763,258559,0.4795,573311,274903,0.9995,5e-04,0.0011,0.0031,0.0022,0.004
"Yorick",0.5269,449145,236655,0.5291,478509,253179,0.017,0.983,0.034,-0.0022,-0.0032,-0.0012
