"TopRisk7.champName","TopRisk7.winRate.x","TopRisk7.gamesPlayed.x","TopRisk7.gamesWon.x","TopRisk7.winRate.y","TopRisk7.gamesPlayed.y","TopRisk7.gamesWon.y","TopRisk7.HOlessequal","TopRisk7.HOgreaterequal","TopRisk7.HOequal","TopRisk7.riskDifference","TopRisk7.riskLower","TopRisk7.riskUpper"
"Aatrox",0.4809,1132144,544448,0.4798,1128337,541376,0.9511,0.0489,0.0979,0.0011,4e-04,0.0018
"Camille",0.4874,405261,197524,0.4837,420788,203535,0.9996,4e-04,8e-04,0.0037,0.0026,0.0048
"Cassiopeia",0.5156,71050,36633,0.5108,81659,41711,0.9694,0.0306,0.0612,0.0048,0.0022,0.0074
"Cho'Gath",0.4821,422935,203897,0.48,451934,216928,0.9753,0.0247,0.0494,0.0021,0.001,0.0032
"Fiora",0.5061,1416049,716662,0.5042,1408346,710088,0.9993,7e-04,0.0014,0.0019,0.0013,0.0025
"Irelia",0.4562,988752,451069,0.4575,957455,438036,0.0344,0.9656,0.0687,-0.0013,-0.002,-6e-04
"Jayce",0.4674,248668,116227,0.4703,371616,174771,0.0124,0.9876,0.0248,-0.0029,-0.0042,-0.0016
"Kled",0.5226,507811,265382,0.5206,519175,270283,0.9787,0.0213,0.0426,0.002,0.001,0.003
"Malphite",0.5092,1134059,577463,0.5118,1210424,619495,0,1,1e-04,-0.0026,-0.0033,-0.0019
"Maokai",0.5271,1002335,528331,0.5259,1195865,628905,0.9621,0.0379,0.0758,0.0012,5e-04,0.0019
"Mordekaiser",0.5001,2157817,1079124,0.501,2124786,1064518,0.0312,0.9688,0.0625,-9e-04,-0.0014,-4e-04
"Neeko",0.5084,67843,34491,0.5015,68324,34264,0.9946,0.0054,0.0109,0.0069,0.0042,0.0096
"Ornn",0.4945,1112491,550127,0.4959,1147513,569052,0.0177,0.9823,0.0353,-0.0014,-0.0021,-7e-04
"Renekton",0.4908,1787648,877378,0.487,1886726,918836,1,0,0,0.0038,0.0033,0.0043
"Rumble",0.4898,198900,97421,0.4853,180348,87523,0.9972,0.0028,0.0056,0.0045,0.0029,0.0061
"Shen",0.5156,1027313,529683,0.5102,1032529,526796,1,0,0,0.0054,0.0047,0.0061
"Shyvana",0.5196,112718,58568,0.5154,132038,68052,0.9809,0.0191,0.0382,0.0042,0.0022,0.0062
"Singed",0.5273,387853,204515,0.5245,388399,203715,0.9933,0.0067,0.0135,0.0028,0.0017,0.0039
"Tahm Kench",0.4888,111912,54703,0.4936,113897,56220,0.0113,0.9887,0.0225,-0.0048,-0.0069,-0.0027
"Teemo",0.517,1271266,657245,0.5159,1309235,675434,0.9615,0.0385,0.0769,0.0011,5e-04,0.0017
"Tryndamere",0.4986,1069036,533021,0.4969,1083110,538197,0.9937,0.0063,0.0126,0.0017,0.001,0.0024
"Udyr",0.4348,29344,12759,0.4443,31064,13802,0.0094,0.9906,0.0187,-0.0095,-0.0135,-0.0055
"Vayne",0.4855,476404,231294,0.4875,488092,237945,0.0247,0.9753,0.0494,-0.002,-0.003,-0.001
"Volibear",0.5252,408241,214408,0.523,422137,220778,0.9776,0.0224,0.0449,0.0022,0.0011,0.0033
"Yasuo",0.4844,581423,281641,0.4873,560964,273358,0.001,0.999,0.0019,-0.0029,-0.0038,-0.002
"Yorick",0.5286,526521,278319,0.5268,587682,309591,0.9713,0.0287,0.0575,0.0018,9e-04,0.0027
