"TopRisk13.champName","TopRisk13.winRate.x","TopRisk13.gamesPlayed.x","TopRisk13.gamesWon.x","TopRisk13.winRate.y","TopRisk13.gamesPlayed.y","TopRisk13.gamesWon.y","TopRisk13.HOlessequal","TopRisk13.HOgreaterequal","TopRisk13.HOequal","TopRisk13.riskDifference","TopRisk13.riskLower","TopRisk13.riskUpper"
"Aatrox",0.4781,848383,405612,0.4796,727459,348889,0.0302,0.9698,0.0603,-0.0015,-0.0023,-7e-04
"Camille",0.494,612323,302488,0.498,665552,331445,0,1,0,-0.004,-0.0049,-0.0031
"Cho'Gath",0.4852,311266,151026,0.4873,308459,150312,0.049,0.951,0.0981,-0.0021,-0.0034,-8e-04
"Darius",0.4956,1619122,802437,0.4999,1571155,785420,0,1,0,-0.0043,-0.0049,-0.0037
"Dr. Mundo",0.5102,356877,182079,0.5132,354686,182025,0.0057,0.9943,0.0114,-0.003,-0.0042,-0.0018
"Fiora",0.5034,939809,473100,0.502,865704,434583,0.97,0.03,0.06,0.0014,7e-04,0.0021
"Gangplank",0.472,355268,167686,0.47,352827,165829,0.9539,0.0461,0.0922,0.002,8e-04,0.0032
"Garen",0.5225,2101412,1097988,0.524,2078222,1088988,0.0011,0.9989,0.0021,-0.0015,-0.002,-0.001
"Heimerdinger",0.5011,128251,64267,0.4977,129927,64665,0.958,0.042,0.084,0.0034,0.0014,0.0054
"Jax",0.5007,1043653,522557,0.4987,977408,487433,0.9978,0.0022,0.0045,0.002,0.0013,0.0027
"Kennen",0.4815,231706,111566,0.4855,260756,126597,0.0025,0.9975,0.005,-0.004,-0.0054,-0.0026
"Rumble",0.4846,119917,58112,0.48,166078,79717,0.9925,0.0075,0.015,0.0046,0.0027,0.0065
"Sett",0.4955,1241582,615204,0.4977,1260855,627528,3e-04,0.9997,5e-04,-0.0022,-0.0028,-0.0016
"Shen",0.5156,848544,437509,0.5142,879143,452055,0.9672,0.0328,0.0657,0.0014,6e-04,0.0022
"Singed",0.5216,319308,166551,0.524,310915,162919,0.0283,0.9717,0.0566,-0.0024,-0.0037,-0.0011
"Sylas",0.4721,276209,130398,0.4748,309713,147052,0.0193,0.9807,0.0387,-0.0027,-0.004,-0.0014
"Tahm Kench",0.4949,114048,56442,0.5004,109998,55043,0.0046,0.9954,0.0092,-0.0055,-0.0076,-0.0034
"Teemo",0.5161,1006960,519692,0.5134,1104886,567248,1,0,1e-04,0.0027,0.002,0.0034
"Tryndamere",0.5028,732673,368388,0.5014,759754,380941,0.9563,0.0437,0.0874,0.0014,6e-04,0.0022
"Urgot",0.5305,866237,459539,0.5323,871538,463920,0.0087,0.9913,0.0174,-0.0018,-0.0026,-0.001
"Vayne",0.4936,385672,190368,0.4914,387419,190378,0.9735,0.0265,0.053,0.0022,0.0011,0.0033
"Yasuo",0.4833,394447,190636,0.4796,409784,196532,0.9996,4e-04,9e-04,0.0037,0.0026,0.0048
