"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Udyr",0.5062,306673,155238,0.5088,344839,175454,0.1342,-0.0044,6e-04,0.0362
"Camille",0.4429,56751,25135,0.4494,53483,24035,0,0.062,0.0739,0
"Cho'Gath",0.4958,68662,34043,0.4926,76859,37861,0,0.011,0.021,0
"Diana",0.4933,383285,189074,0.4882,315046,153805,0,0.018,0.023,0
"Dr. Mundo",0.5128,297968,152798,0.5107,329804,168431,0.0911,-0.0045,3e-04,0.1185
"Ekko",0.5137,1591326,817464,0.5098,1722436,878098,0.4242,-0.0033,0.0014,0.2835
"Elise",0.5049,1210250,611055,0.5078,1228812,623991,0.35,-0.0012,0.0035,0.2995
"Evelynn",0.4827,516065,249105,0.478,557967,266708,0,0.0282,0.0329,0
"Fiddlesticks",0.4775,126695,60497,0.4697,174487,81957,0,0.0361,0.0428,0
"Gragas",0.455,506406,230415,0.4575,588266,269132,0,0.0488,0.0535,0
"Hecarim",0.4951,447387,221501,0.4964,511273,253796,0,0.0102,0.0149,0
"Ivern",0.5022,91776,46090,0.4991,102420,51118,0,0.0074,0.0161,0
"Jarvan IV",0.5067,1269476,643243,0.5055,1468899,742528,6e-04,0.0018,0.0065,5e-04
"Jax",0.5024,951673,478121,0.5005,1121848,561485,0,0.0058,0.0105,0
"Karthus",0.4893,435189,212938,0.4845,422935,204912,0,0.0215,0.0262,0
"Kha'Zix",0.492,926340,455759,0.4939,1018433,503004,0,0.0129,0.0177,0
"Kindred",0.4798,321120,154073,0.477,340271,162309,0,0.0294,0.0341,0
"Lee Sin",0.476,3308128,1574669,0.4797,3640733,1746460,0,0.0263,0.031,0
"Malphite",0.4773,207045,98823,0.4772,241532,115259,0,0.029,0.0347,0
"Maokai",0.5127,63492,32552,0.5087,81450,41434,0.6556,-0.006,0.0038,0.9611
"Master Yi",0.5183,2226524,1154007,0.5155,2492844,1285061,0,-0.0099,-0.0051,0
"Nidalee",0.4648,482486,224259,0.4642,509619,236565,0,0.042,0.0467,0
"Nocturne",0.5069,851735,431744,0.5092,968233,493024,0.853,-0.0026,0.0021,0.6866
"Nunu",0.5197,465655,242001,0.5162,527134,272107,0,-0.0101,-0.0054,0
"Olaf",0.5005,947347,474147,0.5027,1097788,551858,0,0.003,0.0077,0
"Pantheon",0.4577,194189,88880,0.4557,243539,110981,0,0.0505,0.0561,0
"Poppy",0.4994,102407,51142,0.5062,190713,96539,0.0049,0.0014,0.0077,0.0685
"Qiyana",0.3947,64160,25324,0.3746,104489,39142,0,0.1309,0.1394,0
"Rek'Sai",0.4891,505845,247409,0.4919,548581,269847,0,0.0146,0.0193,0
"Rengar",0.4695,476325,223635,0.4745,540372,256407,0,0.0319,0.0366,0
"Sejuani",0.505,653295,329914,0.5034,696649,350693,0,0.0031,0.0079,0
"Shaco",0.5132,944003,484462,0.5161,1096948,566135,0,-0.0094,-0.0047,0
"Shyvana",0.5264,676180,355941,0.5245,824591,432498,0,-0.0176,-0.0129,0
"Skarner",0.4969,84453,41965,0.4974,92893,46205,0,0.0062,0.0153,0
"Taliyah",0.475,117845,55976,0.4741,110333,52309,0,0.0294,0.0377,0
"Trundle",0.5286,512662,270993,0.5296,639353,338601,0,-0.0234,-0.0187,0
"Tryndamere",0.4598,109699,50440,0.4551,124748,56773,0,0.0476,0.0554,0
"Twitch",0.4571,150592,68836,0.4516,156324,70596,0,0.0542,0.0612,0
"Vi",0.5146,826952,425549,0.5119,860898,440694,0.0048,-0.0058,-0.001,0.0021
"Volibear",0.534,358482,191429,0.5319,454746,241879,0,-0.0252,-0.0205,0
"Warwick",0.5202,1260333,655625,0.5291,1601353,847276,0,-0.0231,-0.0184,0
"Wukong",0.4653,143367,66709,0.4621,152256,70357,0,0.0417,0.0488,0
"Xin Zhao",0.4896,567721,277956,0.4913,616890,303078,0,0.0146,0.0193,0
"Zac",0.5285,1297445,685700,0.5258,1673342,879843,0,-0.0179,-0.0132,0
