"BottomBalanced6.champName","BottomBalanced6.winRate.x","BottomBalanced6.gamesPlayed.x","BottomBalanced6.gamesWon.x","BottomBalanced6.winRate.y","BottomBalanced6.gamesPlayed.y","BottomBalanced6.gamesWon.y"
"Aphelios",0.4729,1049278,496204,0.4778,1231603,588460
"Corki",0.4781,25137,12018,0.4797,30745,14748
"Draven",0.4993,868971,433877,0.4983,986026,491337
"Kindred",0.5018,36911,18522,0.4979,41285,20556
"Senna",0.4954,293145,145224,0.493,215752,106366
"Veigar",0.5371,129513,69561,0.5294,130425,69047
