"BottomBalanced4.champName","BottomBalanced4.winRate.x","BottomBalanced4.gamesPlayed.x","BottomBalanced4.gamesWon.x","BottomBalanced4.winRate.y","BottomBalanced4.gamesPlayed.y","BottomBalanced4.gamesWon.y"
"Aphelios",0.4815,1338106,644298,0.487,1444792,703614
"Caitlyn",0.5035,3643727,1834617,0.502,3869411,1942444
"Kai'Sa",0.467,1855260,866406,0.4668,2863411,1336640
"Sivir",0.4929,442338,218028,0.5074,662406,336105
