"BottomBalanced3.champName","BottomBalanced3.winRate.x","BottomBalanced3.gamesPlayed.x","BottomBalanced3.gamesWon.x","BottomBalanced3.winRate.y","BottomBalanced3.gamesPlayed.y","BottomBalanced3.gamesWon.y"
"Aphelios",0.498,1812269,902510,0.4815,1338106,644298
"Caitlyn",0.4868,3213722,1564440,0.5035,3643727,1834617
"Corki",0.4759,26392,12560,0.4696,21171,9942
"Ezreal",0.4859,3331315,1618686,0.4802,3856442,1851863
"Miss Fortune",0.5215,4169396,2174340,0.5213,4061806,2117419
"Senna",0.5228,1251409,654237,0.5247,726928,381419
