"BottomBalanced13.champName","BottomBalanced13.winRate.x","BottomBalanced13.gamesPlayed.x","BottomBalanced13.gamesWon.x","BottomBalanced13.winRate.y","BottomBalanced13.gamesPlayed.y","BottomBalanced13.gamesWon.y"
"Aphelios",0.4835,1612385,779588,0.4831,1530242,739260
"Cassiopeia",0.5131,80708,41411,0.5167,79879,41273
"Ezreal",0.4971,4814903,2393488,0.4869,4368230,2126891
"Kalista",0.4815,607583,292551,0.4849,530745,257358
"Lucian",0.4806,1662029,798771,0.48,1470901,706032
"Syndra",0.4826,84551,40804,0.4889,71363,34889
"Varus",0.4874,988545,481817,0.4654,613902,285710
