"BottomBalanced1.champName","BottomBalanced1.winRate.x","BottomBalanced1.gamesPlayed.x","BottomBalanced1.gamesWon.x","BottomBalanced1.winRate.y","BottomBalanced1.gamesPlayed.y","BottomBalanced1.gamesWon.y"
"Aphelios",0.5011,1407163,705129,0.4898,1212748,594004
"Corki",0.459,25866,11872,0.4668,18385,8582
"Draven",0.4844,1025498,496751,0.4882,791828,386570
"Jinx",0.5147,2694952,1387092,0.5163,2341277,1208801
"Kalista",0.4872,251775,122665,0.4896,211455,103528
"Kog'Maw",0.509,194354,98926,0.5166,166464,85995
"Varus",0.4899,997983,488912,0.4932,834366,411509
"Ziggs",0.4999,34369,17181,0.5231,47991,25104
